OOTECH OOCHU TAKEHNIYATINKLES ST. MASK.
41:001:000:1  Tghaehyestla Ehlaiti.
41:005:040:0  Hatyeh oontlonchi kiyuhaghatakluch. Ahwole ehtyezon aitye hayateha, otsighaclesha yatgha chu you chu ata, kahchu ayi yehkyatechii, koohchu kwinaghacha ata tyelasatyinti.
41:005:041:0  Yila inchutlon ata, kahchu toowela yehtilon, Talitha cumi; ayi chati, Ata, niiya, nesii.
41:005:042:0  Kahchu kwete ata niiya, kahchu ghayahl; atai keneti onketi matgha mayaskehe. Ohtye o-ochi khaooghalilon aghawochule kehe.
41:005:043:0  Ohtye atuline tataoonti; kahchu atya kehe oolita ooli machuhchut.
41:006:000:1  Tgliachyestla edzetaiti.
41:006:001:0  Kahchu ieti. otsi achudesha, kahcliu yuhchidesha ghochati matike; yaotatichne chu yekehdesha.
41:006:002:0  Kahcliu Menejitti Bzine khoonioonizutooh tye tyetachatlihi kwa taneghaotatyecli: natlone kootitsakooh khawoalli, ghatih, Tyecha otsi niyatilontye ? Kahchu ye o-ochi mehoocliayu tidi machioo, koole yaghi oochu ekyeotatichi ayilai tila ihe ?
41:006:003:0  Atu ayila tachin atali, Mary chue, mekye James, Joses chu, Juda chu, Simon chu? kahchu mehtghezze diode mekyechatich ? Kalichu atu oochu yatsiintighadesa.
41:006:004:0  Kahcliu Jesus toowela vehti, Tane chi otine tune atu mooli oontue iyu aoontye mehe meachatachai, atunezon tatike hwa yule iyu aoontye, kahchu atai halite menachine, kahchu atai halite ghochatih rnakwa.
41:006:005:0  Kahchu ayiti atu kooye keoahchlon mehmawochuii kewotiche, tahkine ghatyeh katehtichlon yatitine, kahchu nayaghihtalon.
41:006:006:0  Kahchu kawolilon atu aha yutieh. Ahwole atghe tane tanenatih akehe klodeshalon, taneghaotatyech.
41:006:007:0  Kahchu keneti onketi matgha tyechi yehti, eonetye tsi yeteha onkyetatatye; kah chu yehnatsutti yayila yatanatsutti naghaghatai metselihi;
41:006:008:0  Kahchu ayeliti atuli yatoolai kyatehchu, tghes zon; atu etsunzis, atu chu otles tyes ali, afu chu sooniya kooghele tasulla:
41:006:009:0  Hoontyegho kyetlehi ahoo zon tatyez; kahchu atu onketi kestue taooya.
41:006:010:0  Kahchu toowela yehti; oolitah nito kwa kwighaachatetah, ayiti ahli achutahaz ti otsi.
41:006:011:0  Kahchu atu ninaghatile ati, naghatitsukki ata chu, aisai iiti otsi achutaach ate, naghakye waghat otles ihe kooyeh ooghahtichi. Kwa hli anaghaisii, Otehchi aghatane Sodom yu Gomorrha yu oochu awohtyesi ohtye tane tsiochatihi dzine intyizon ayi tike.
41:006:012:0  Kahchu achughatestyetl, kahchu tane taghatih ketselihi ooghacliatutii gha,
41:006:013:0  Kahchu nation metselihi ghaghateha, kahchu kies ihe yakiyehkluk yatitiine, kahchu nayaghinta;
41:006:014:0  Kahchu metihi tyiyi Herod otitsuk xnewoyu; (atgheze tike okehe xnidizi khoochatiihe;) kahchu toowe ehti, John matukeghinkliti atai tustye otsi niiya, kahchu ayiwo mehe ohtye keochatichi eotatya aoontye.
41:006:015:0  Achune ghati, Elias atai, kahchu achune ghati atane tai atahwotine, ehlatine eontye atane tai atahwotine.
41:006:016:0  Ootitsukchi Herod, toowe ehti, John ayi matsi hlihyitl ii: tsitike nesta tustyi otsi.
41:006:017:0  Atai Herod ghochati ochiyateha, John chu niyatinti, kahchu tane kwechayihti tayaghesklu Heredias ihe, mekye Philip tsiyue ihe: atai inkah hlakootsila.
41:006:018:0  Atai John ayehtii Herod, Atu wotezi nai awohi nekye tsiyue.
41:006:019:0  Ayeoo Herodias tike ochehtune yesoohail akhai; ahwole atu hawootli iyu maaoontye :
41:006:020:0  Atai Herod John enejitieh, atayetioo tyeswe ghata, kahehu maghata oochu tane elieh teze, kahehu yama intityesha; kahehu yatitsukchi oontlon kehe keoachlon, kahehu kyenawolesilon ayiteh otitsuk ate.
41:006:021:0  Kootoo sookah nitsutooh dzinee khonioonizutooh Herod niyi dzinee khonioonizutooh hatleke eghohtai gha oola tametihi glia, simakunnis metihi tyiyi chu, kahehu haladi kha kakaoozuni Galilee;
41:006:022:0  Kooh kootoo Herodias matue kwiya tahtitla, kahehu yakeneli Herod chu, ayi yakasatai chu,metihi tyiyi toowe ehti ayi atyedi,Soodinkyet ooli sachinioonunisitassi, atuli necho matuhsesi.
41:006:023:0  Kwete oochu ayehti, Atghaze ooli assyesi oochu gho soodinkyet ate, tghatichi ooli assi naslelasi.
41:006:024:0  Kahehu hadesha totsi anna, Ye ooduskyet aoontye totsi ehtilon ? Tsiyua so toowe ehti, John matukeghinkliti tsi.
41:006:025:0  Xteteh kwete metihi tyiyi tsidesha, kahehu atakyet, kooh koosti atezon sahoalli tsa ihkye John matukeghinkliti tsi.
41:006:026:0  Kahehu ohtye metihi tyiyi atu kenelilon; hoontye ooli oochu ati ihe, kahchu aghatane ihe kookasata, atu yaza ootihyul.
41:006:027:0  Kwete cliu metilii tyiyi otsidelia teze, kahchu matsi naghahal^yehtilon: kahchu otsidesha tane kwechayehti yetsi hlihyitl.
41:006:028:0  Kahchu yetsi nanioo tsakyeh, kahchu atyedi ghioo: ooh ayi atyedi to ghioo.
41:006:029:0  Kootoo yaotatichne oghatitsuk chi, yachihatestyetl kahchu yazeche nighatihtyi, kah chu natine kwati naghanihtyi.
41:006:030:0  Kahchu wochichatehane aghanetye intataghati Jesus aliiti otsihatestvetl, atghazi kitatati ooli, keooaachii, kahchu ooli tanegha ootatyechine.
41:006:031:0  Kahchu toowehchu yehti, Tyetahtyel naghai tyinta oolite yaghi kemwehchi, kahchu oontsutli natahyih : kootoo nation yuhchighatestyetl kahchu yiteghatestyetl, atulita ahwosits kuzza ooli.
41:006:032:0  Kahchu naoonai ela tu chok ehkyeatachi ehkyeghaghityetl.
41:006:033:0  Kahchu tane kooya-ih achughatestyetlooh, kahchu natlone atakooyehti, kahchu tane natihti otsi atghe otsi ooghatehsut nito kwa otyiyi aghoo anetye oogha-i, kahchu tane tse nighanintyetl, aghanetye kiyunintyetl.
41:006:034:0  Kahchu Jesus hadesha natlone tane gha-ih, ohtye matsun tatihti kyehe indityesa, uspai etyieh uspai ghaghatane tane atu ayehi: kahchu tye yaghotatich nation ooli.
41:006:035:0  Kootoo ayi dzinelon kwakoole tontyeto kloeh ooli, yaotatichne yachitestyetl, toowe yehtilon. eh, Kemwehchi oolilon chodeh, kalichti kwa oonchadeh dzine kloeh ooli:
41:006:036:0  Achuyadeha tike okehe otsighatatyel, kahchu nito kwa ootlonchi, kahchu ataheghatutlihi gha otles tyes : atuli ghatsitsi aghalii ihe.
41:006:037:0  Ateyatetlalon hoole toowehchu yeliti ihe, Naghanilon kiyioohtai kooyanahli. Kah chu toowe kiyehti, Yaghe otsi tawotyeli ataghawotlihi ila sooniya onkye keoneti ketyi sachunai ehtye otles tyesta, yaghine ghaoohchuti ?
41:006:038:0  Toowela ooli nayetilon, Taitya otles tyes ahiwo ? oonkawahya. Kahchu ataghowatichi, toowela ghati, Hlahcheti, hinge chu onketi.
41:006:039:0  Kooh yehtilon eonetye tsi tahtsi kloke tanepveds tgha.
41:006:040:0  Kahchu ghatye gheskyih inchake, keoneti ketyi tatehtsi inchinatatye, taghane chu hlahcheti ketyi inchinatatye tatehtsi.
41:006:041:0  Kahchu hlahcheti otles tyes niyatila Huge onketi chu, koohtike ookahtgha yatsi, kahchu merci yehti, kahchu otles tyes yataghiyits, kahchu yaotatichne ghila yaniyulel gha; Huge onketi chu anetye tghaestich.
41:006:042:0  Aghanetye eghaghintalon, oochu tataghanastolon.
41:006:043:0  Kahchu keneti onketi matgha kloke asklu ghaisis tadesmanoo mechaghintai ihe, hluge ihe chu.
41:006:044:0  Kahchu yeghaghintaiine otles tyes oolitali hlahcheti keoneti keoneti ketyi sihlon enetyi sihlon tezoo.
41:006:045:0  Xeti tye kwete anetye ihe yutilon yaotatichne tachin elahkyeootyeli kha, kahchu taityechi otsighatuteligha halaclih Bethsaida, achutehaton tane.
41:006:046:0  Kahchu kootoo achuteha, atai chu yitaityesha khis tsi yaootootyech.
41:006:047:0  Kahkachi aoocha tsi, tachin ela tatiche tsi tu chok taghalilooh, atane nunkuchi sahti ali.
41:006:048:0  Kahchu yai ohtye keotichoo atowazu; intsita oolieh : oolitah hatlindo aoocha soo tane wohniyalon, tu chok khai niyalon, kahchu yaooyeassilon.
41:006:049:0  Kiyainchi tu khai rAya, kooh kooghati tane atsinde ali lontye kiyutih, kahchu ohtye oonighanityetllon:
41:006:050:0  Aghanetye kiyai, kahchu atu oochu indighatyesalon. Kwete inchi ooghatatyech, kahchu toowela yehti, Ohtye soonahtye: suni asli aoontye; atu ooneghahtyel.
41:006:051:0  Kahchu inkhadesha elahkye atine; kah chu intsi adezut: kahchu ohtye khawoghali, kahchu o-ochi khawoghali.
41:006:052:0  Atu ayi indi ghati ihe ayi o-ochi keoehaachi kehchi otles tyes: aghatane koodzye natsuttieh.
41:006:053:0  Kootoo naghateskyi tsi, koonaghaghintyetl tike Gennesaret, kahchu tghaghiyetl.
41:006:054:0  Tghaghihyetl tsi ela ehkye tsi, kwete atakiyeti,
41:006:055:0  Kahchu kyeton ghatich aonetye ieti otusinkha, kalichu kyekyeyehtich ayi tyelisatyii tatihi, ali iteh oohatitsnkooh.
41:006:056:0  Kahchu kwiyah assitih nito kwa chisinchi, nito kwa otyiyi koole, tike koole, nikiyityih ayi yatitine atghunni tiche koole, kahchu kichinioog'hanunisit kikatutihi gha ghatye makestue maihe aghoo kiyuhchuti gha : yuhchutassihne anetye yaghitalon.

41:007:000:1  Tghaehyestla taiuclii.

41:007:000:0  Kahchu anetye machichatyesha Phariseene,. tahkine adesklesne chu, ha Jerusalem tsi ghatilhne,
2. Kootoo kiyainchi tahkine yaotatichne
aghatsitsoo otlestyes atu ka tila tyeghintyekoo,
ayi tsati, kila aghoo atu tyetsaghintyek, tahkine
atu tyeswe kooghatilon.
3. Aghatane Phariseene, Jewne chu atghe,
oontlon chi taghila tyenaghatichoo zon aoontye,
atu aghatsits athli, kooghatghoonoo yaootyi
Jiatseto koola otehchi meetiootyeha.
4. Kahchu naghatichta ataghe tsi, atu natsun
nootootihul ate, atu awoontsitsassi. Kahchu
* ooli nation ooli nikitilaine o-otghooni, tsa nootoochatuhul, kahchu mihe tu tsato chu, tanihkluchi satsoone tataoochayihi takehchestai chu.

ST. MARK VII.

31

5. Kahchu Phariseene chu vatiklesne chu,
Taotya kiyehti, Yehoo glia mawotinticline atu
nakyehchi indi gha tyes aoontye tane haladi
otichne tane, ahwole otles tyes egliaghinta atu
tahila tyeghaghintyekoo ?
6. Ateyatetla, kahchu toowe yehti; Oochu
nagliai nasetyilon Esaias naghani oontlon
nail taboo, takehnichatinkles akehe, Ayi tane
oochu assaghati taaza ihe, ooh koodzye tontye
saooh.
7. Ghatye ahwole kooyaootastech tanegha
ooghatatyechoo tane mihe chioochatihi.
8. Tyinta saoo Nagha Tgha otiche, ooahtghoon tane yaghita kehe, nootghochadehulli
mehtutsato tsa chu: kahchu ooli nation ayi
etye keoghaach.
9. Kahchu toowe yehti, Oochu Nagha Tgha
zake kyenaghaii, niaghahtai yu aoontye nagha
onti.
10. Atane Moses kooehtii, Ohtye natgha
chu noo chu tao-oncha; kooh hatyehlon ooline
tatgha tsi to yu ketseliooh otih ate, chazuhelassi:
11. Ahwole naghai atahti aoontye hoontyeoo
ooli tatgha koole to koole, Corban ayi, ayi tsati,
kachiahi, yaglii ooli nakeoostich iyu aoontye;
kao-ontsutti.
12. Kahchu atu otehchi machi nioonunahsit
ooli yaaootli tatgha koole to koole;
13. Naghai hahte tsioone Nagha Tgha zake
*

32

ST. MARK VII.

awalitla atuli kyewoti nagha oonti ike, kanaooii:
kahclm ayi etye nation ooli keoaahch.
14.
Kootoo elm aitye tane kawoti tsi,
toowela yehti, Anahtye soozahtsoo naghani
kahehu atahtsuk:
15. Atuli ayi tane matsun Ah its i tatyezut
ayi mazi ti achi chahtayimeassi: ahwole yetsi
hayatehai ayi ali tane chahte ayihihchi.
16. Ooline matsakke oolitane iiti ootootsukissi, inkai ootootsuk.
17. Kootoo tane oochu tyesha nito kwa,
kwenaghacha yaotatichne taoontya yehtilon
lileoontye akyehehi oochatilii.
18. Kahclm too we yehti, Kooka naghatsi
toontooe aoontye ? Atu kyenahtihela, alitghazai ooli tsehtsi otsi kwetsutti tane, atu chahte
ayili eyontye;
19. Atu madzye tsi ihe ahakootyeh, ahwole
mapat tsi, kahehu hatsat oochu sookah nininkyieh aitye etsun ?
20. Kahclm to owe ehti, ayi tane tsun tsi
hadehtsutti, ayila tsahte ayihihchoonte tane.
21. Koodzye ta otsi tane, ine tsi tatyestek
ootye indi metselihi, soochachai chu, nakhochityeli chu, tlahchazaghai chu,
22. Atsunne achuneih chu, machachintyi
chu, inditselihi chu, oochachiti chu, naoona-i
indyetselihi chu, atai metselihi chu, atacho
chunehliti chu, achachatachai chu, tsaoochayaghi chu.

ST. MARK YII.

33

23. Anetye ooli metselihi kwetsut tane tsun
tsi, ahwole tane tsahte ayila.
24.
Ayiti otsi niiya, kahchu tghanatyesha
Tyi'e yu Sidon yu, kahchu nito kwa ootanaghacha, kahchu koonoo atuline atawo-oti kootilon: ahwole atu nana-i iyu aoontyelon.
25. Ehlaiti tsege matue ooli ayehii atsinde
metselihi, ootitsuklon, kahchu yuhchideshalon
kahchu makye keh nadsutlon :
26. Yaghi tsege Greek tane, Syrophenician
ine tsi ihe otsi tazelh; kahchu yachinioonunisit
hayatoohai gha atsinde metselihi matue zi ta otsi.
27. Ahwole Jesus toowe yehti, Inkai hatse
tsito tatanooto; atu oochu tsito taghaotlese
kooyehwawachutalli, koohchu kli tsi tsatulihi.
28. Kahchu ateyatetla kahchu toowela yehti,
Ehye, aghaghintaihi : hoontye ooli takyeh
yechihtati yue natunahtyeli kli tghaoohtsi.
29. Kahchu toowe yehti, Tidi sa ihe oodinta;
atsinde metselihi natue tsun tsi hadesha.
30. Kooh niya tsi takwa, yihtyi atsinde
metselihi hadesha tsi, koohchu matue takyeh
ustyi keh tyelasatyi.
31.
Kooh kahchu yitaityesha Tyre yu
Sidon yu otsi, otsidesha tu chok tsi Galilee,
taghaniya Decapolis.
32. Kahchu kiyananioo hligi majih oontooehu, atu chu oochu ootatichoo; kahchu
yachinioonunisit kooya katootihi gha.
33. Kootoo otsi yatehti tane natlonti, kahchu
c

34

ST. MARK VIII.

yaji ta katihtich, kahchu ghizek, yetsoode chu
katelitich;
34. Kahcku yatsi o ok all t a, otyesta, kahchu
toowe yehti, Ephphatha, ayi, Tahaootsitti.
35. Itetyeh kwete maji ta hatachil, kahchu
matsoode klule tihatuk, kahchu oochu otaticli
acha.
36. Oochu atuline ataawoti yehtilon : aliwole
otaihchi atuline satsih ataawotihi, otaihchi
ohtye koohootyeh;
37. Kahchu o-ochi kao-oli toowe yehtie,.
Atghaze ooli tsiwohzon keoahchlon: oochu
majioontoowene anayitla oochu ootootsuki glia,
kahchu saintakline oochu ootootyechi gha.
Tgliachyestla edzentyenti.
A Yl dzine tane o-ochi natlone, kahchu atuli
^ aghahi kiyutsitsi, Jesus yaotatichne tyechi
yehti, kahchu toowe yehti,
2. Satyaghisunni tane natlone, kooh kwa
taiti dzinee sihaghahtvih. atuli chu aghahi
ghatsitsi ooli.
3. Achu kootyehaitye tagha kwa tsi yaghatipatooh, woianh oohatootsitassi, natlone tontye
tsi otsighatelyu.
4. Kahchu yaotatichne atetyataih, Tyechi
otsi gha tayanooto tine tane otlestyes ihe
chode kemweh ?
5. Kahchu Taitya otles tyes ahi yehtilon ?
kahchu toowe ghati, Taiuchi.

ST. MARK VIII.
6. Tane tsi tsiwobzon tahtsi tike wozon: ayi
ninayatila taiuclii otles tyes, kahchu merci ehti?
kahchu yataghiyits, kahchu yaotatichne ghila
oochu yaniyuleli; kwa kiyaniyila ine tane gha.
7. Kahchu akiyehii tahke hluge yaintsutle:
kahchu merci ehtilon, kooh ehtii ine gha
nichuleli.
8. Kahchu eghaghintalon oochu tataghanastolon: kahchu nachatanatyetl neghatila mechacheliih, taiuchi kloke ghaisis tghatatyesmanooh.
9. Kahchu ine eghaghinta, ooiita tiko keoneti
keoneti ketyi enetyi silon : kahchu achudehalon.
10. T Kwete ela kyiya yaotatichne chu, kah
chu yuhchidesha chisinchi Dalmanutha.
11. Kahchu Phariseene yuhchihatestyetla,
kwete kichi sooghatayehch, kiyinkhanata yakachi otsi ehtoole taoontya kiyehti.
12. Kahchu ohtye hoontatachehlon matsinde otsi, toowe ehtie, Yehoo gha ine chi
hlioolate kiyinkhanata ehtoole, kwa hli anaghaisii, atuli ehtoole naghachualassi tine maghestyekne.
13. Kahchu yechudesha, kwete elahkyiya
taityechi otsi kahchu yitaityesha.
14.
Mawotintichne iine kiyutoonaghatihlon
otlestyes kitoolai, kahchu atuli aghahii elahkye
ehlaiti zon otehchi otles tyes aghahilon.
15. Kahchu yechiwoteh, Tyeke khaghahta
mehotles chihutli Phariseene, kahchu mehotles
chihutli Herod natunne.

36

ST. MARK VIII.

16. Kakcku inckioohwatatyeck, kook atuli
otles tyes assii ike.
17. Jesus atawotikcki, toowe ekti, Yehoo gka
inckiootaktyeck aoontye atu otles tyes aki ?
atu ka atawaktikala, ataktsuk koole ? kooka
nagkadzye natatsutook sakookwaoontye ?
18. Nagkatai cku ooli, atu ookanaktgkaala ?
nagkaji cku ooli, atu ataktsukila ? atu cku
kyejetaktila ?
19. Kooya tsegkila tsi klakcketi otles tyes
klakcko ootatye keoneti keoneti ketyi enetyi,
tanetyi kloke gkaisis tadesmanook nackatanatyetl nita la ?
Toowe yekti, Keneti onketi
matgka.
20. Kakcku taiucki aline kootgkasiticli tikook
keoneti keoneti ketyi enetyi, tanetyi kloke
gkaisis tadesmanook nitalala nackatanatyetli ?
Toowe yekti, Taiucki.
21. Toowekcku yekti, Yelioo gka atu ataktsak
aoontye ?
22. t Kakcku yukckityeska Betksaida tsi;
kakcku kiyananiktyi teze mataitueki, kakcku
kickinioogkanunisit yakatutiki.
23. Kvva yila inckut ayi teze mataitueki,
kakcku nito kwa tsi ackuyetekti; kakcku
yatai kegkizek tsi, kakcku yakaktektickoo,
taoontya yekti ooli gkiila.
24. Kwa yacki takyatii, kakcku ekti, Tane
gkussi tackin etotyeni.
25. Kakcku yatai katehtick, kakcku yitige

ST. MARK VIII.

37

ookanahta yehti: kootoo oochu oontyei, kahcliu
aitye tane oochu ya-iine.
26. Kahchu yakwa tsi yeteha, toowe yehti
ihe, Atu otsitaooya nito kwa, atuline chu tataoonti nito kwa.
27.
Jesus hadesha, yaotatichne chu nito
kwa tsi Caesarea Philippi; otsighatelu, Taootya
yaotatichne tsi ehtilon kooh yehtiihe, Mea ali
saghatya tane ?
28. Kahchu toowela ghati, John tanetukeghinkliti tane ali: ahwole tahkine Elias ghati;
kahchu achune atanetaihchi atawotine tane.
29. Kahchu toowe yehti, Ahwole mea ne
ahlaoontye ? Kahchu Peter ateyatetla kahchu
toowela yehti, Nuni ayi Christ.
30. Kwa yatati atuli tsi hoholioontye atuneoo.
31. Kahchu tyi yaotatich, teze chue atghazi
ooli kawotoohunne, kahchu yenaooli lioola ale,
taneghaotatichi metihi chok yu, adesklesne chu,
kahchu tsazughelyu, taiti dzinee kaohtzut ate
kahchu tsitike naootezi.
32. Kahchu ehtii ayi zake tanenichi. Kah
chu Peter nayanaun, kahchu tyi chuhootatyech.
33. Ahwole natanyesha tsi yaotatichne chu
kanehtgha, Peter chuatatichlon, toowe ehti ihe,
Satuchi otsidiya nuni atsinde metselihi: atu
indi natih Nagha Tgha tsi tatyesuttih, yaghi
zon ooli tane tsi tatyesuttih.
34.
Kootoo tane tsi tyechi ehti yaotatichne
chu toowe yehti, Ooline sakehtayeh ati, inkai.

f>Q

OO

ST. MARK IX.

oochit atu tuti ninayatooalli matsookhatayaghi,
kahchu nakehtuyesi.
35. Ayih sye nayaghoohtalon kyehghata
kehe, tghayatualassi; ayi tayadesooatai kyeh
ghata kehe suni tsi kahchu otich oochu chu,
ayi nayahoohtezi.
36. Yechiha yatsi ewoyuesiha tane, tike okehe
ootanatsut ateoo, tatsinde tghayaghatyeshai ate ?
37. Ooli sitah tyesooite taghatai tah ?
38. Ooline siooyale tane zake chu chode
soochaghachatai chu kyidyetseli chu tanegha;
ayilon atane tane chue yaooyaooli, kootoo
yuhchininiye ate kochi soochunetyi Matgha
keotichne oochune chu.
Tghachyestla kalaketi.

jrAHCHU

toowe yehti, Kwa hli anaghaisii
tahkine chode natehyane atu koozetse
nio-olyezi7 naooghatyitsi ooli ate Nagha Tgha
kyeyi khoonao-ozit ate mehnatsutsutti yu.
2.
Edzetaiti dzine kloe Jesus Peter chu,
James chu, John chu hlyekeghatechlon, kwa
hlilon otsighatyesha khis tsi ohtye nataghisatti sahte ooghatyi: kahchu yakaitghaityeh
achu meotati.
3. Kahchu makestue mesaniti takulli kye
yas etye; atuline chode tike haht-ye takulli
awolene ooli.
4. Kahchu klohnaaghityetl Elias chu Moses
chu: kahchu inchiooghatatyech Jesus chu.

ST. MARK IX.
5. Kahchu Peter otyesta, toowehchu
Jesus tsi, Metihi, diode itli gha oochu:
taodatyedi kwa aootlihi; ehlaiti nuni
ehlaiti Moses gha, ehlaiti Elias gha.
6. Atu ti kehe atu ataotihi ihe; ohtye
ghanintyetl ihe.

39
yehti
inkai
gha,
ooni-

7. Koos inchi ghililon : kahchu sa ooghatitsuklon yatsi, toowe otieh, Tai la se Chue
menusli: Soozehtso.
8. Intyizon, aoonetye ookaghanehtha, atuline
otehchi kiya-i, Jesus zon kooyehkatech.
9. Khis chi chyesta ghatestyetlyu, yanaootatich atuline tataconti ooli ohwehtyi, teze Chue
niiya ate zon mazetse otsi.
10. Ayi zake kaghaghatalon, ayi yea tane
zetse acliatya oontye toon ghlaghatati.
11. % Kahchu yehoo gha kiyehti, atesklesne
yehoo gha koohatya oontya Elias hatse naoojezi ?
12. Kahchu ateyatetlalon, yatatio yu, Kwa
hli Elias hatse niya, atghe chu ooli sookah nioonila; kahchu takehnichatinkles akehe teze Chue
ihe. nation ooli kaootoohanu, kahchu menachule.
13. Ahwole suni anaghaisii aoontye, Elias
kwa hli nooja, akooghati sikooh kooyekechatihtihch, takehnichatinkles akehe atanewoh.
14. % Kahchu yaotatichne wohniya tsi, tane
natlone yehkyatich chu yailon, adesklesne chu,
taoontya tookooyetilon.
15. Kwete atghe kiya-ichi, atghe kaooghaliIon, kahchu kichiodehsut yilaghinchutlon.

40

ST. MARK IX.

16. Kahchu adesklesne tsi, Taoontya nayeti?
17. Ehlaiti chu tane natlodi otsi ateyatetla
toowechu yehti, Metihi nananihtyi sachue ayehi
atsinde saititaldi;
18. Kahchu oolita yihchut assiti koohoontye
yayaghinchil: ' maza tsi oohwoos ooli chu, maghoo natazutsun chu, toontyiyazighai chu : kah
chu taoontya kooyesi mawotintichne ghakitoohai
gha; kwa hli kooyandatla.
19. Ateyatetlalon ahwole toowe ehti ihe,
Naghai naghaje toontooe assine, taisa tsi otsi
naghai aoostya aoontye, taisa tsi otsia naghatagha ooslya aoontye ? Sananaha.
20. Kahchu kiyananiooh: ya-inchi kwete at
sinde kooghoontye yayaghinchil; kahchu tike
nadsut, kahchu yatatat}7ech maza tsi wohoos
hailyi.
21. Taoontya yatglia tsi ehti taisa toh otsi
kooh hoontyontya ? Toowe yehti tsito ali toh
otsi kooh hoontye.
22. Oontlon chu tsichataintyi tyenayehtyech
ahoo yu, chahteayuliassi: ahwole oolita aotunatlihlon ate, ahoohchunaya,kahchu ahachinootyeh.
23. Jesus toowe yehti, Aha koodinti ate, atghazi ooli nakeotoonezi ayi aha kooti.
24. Kahchu kwete ayi tsito tatgha tsi otyesta,
toowehchu ehti manatu ooli, Naghaghintai, kwa
hwe a koosti; oochinootyeh atu a koodestihi.
25. Jesus wa-ichi tane yuhchiinhlaghatelyu,
atsinde metselihi tsighotye, toowe yehtie, Nuni

ST. MARK IX.

41

naza oontooehi najih oontooe ahoo yn atsin.de
nali, ohtye anesii, yuhchihadiya matsun tsi,
atu chu mazi kahchu taooya.
26. Kahchu atsinde otyesta, kwete chu yayaghinchil, kahchu yatsun tsi ghotyesha : kahchu
tane zetse etyelon; ayiwola natlone, Tehtsut
ghatya aoontye.
27. Ahwole Jesus yila inchut, kahchu tah* yatihtyih; kahchu tsitike nesta.
28. Kootoo kooyachi nito kwa, yaotatichne
sahti wahtila yehtilon, Yehoo gha naghai atu
nanitun oontye ?
29. Kahchu toowe yehti, Haoontyedi atu
ghatyeh ooli ihe ghachatayach, neaghasuchuli
zon atu atsutsits ihe chu.
80. % leti otsi achughatestyetl, Galilee chu
kyechoghatestyetl; koohchu kootilon atuiine
atawo-otihi.
31. Atai yaotatich ihe yaotatichne, toowehchu yehti, Teze Chue tsataghinsut tane tgha,
kahchu kizoohelassi; kahchu tsazehai ate,
kahchu tsitike nawataizi taiti dzinee.
32. Ahwole atu ooghatitsukoo ayi zake,
kahchu taoontya kiyutekhai ooianh kyeghanejit.
83. T[ Kahchu yuhchidesha Capernaum : nito
kwa oota ati otye taoontya yehtilon, Yea khama
ootahtyechii atghunni otichi ?
34. Aghoo atu yachutyehlon: aghatai hahte
atghunni otichi hoonchati inchi sooghatatyechlon, mea otehchi chatinchai kha.

42

ST. MARK IX.

35. Kachu nesta, keneti onketi matgha
tyechi yehti, kahchu toowe yehti, Ooline haladi
toosliai ate, ayi zon lili haistlachi ayuhezi,
kahchu tane glia aoonetye gha keo-otechassi.
86. Kalicliu tsito niyatihtyi, kahchu tane
kuzze nayenihti: kahchu yakoone yinchut tsi
toowe yehti,
37. Mea so niyatuhtyeloo ehlaiti ayi etye
tsito sindizi kelichi, suni nisatintyi: mea so
nisatuhtyeloo, atu suni nisatintyi, ahwole ayi
yuhchisatyehai.
38 % Kahchu John ateyatetlalon, toowe ehtie,
Meti, ghityii ehlaiti atsinde metselihi hayateha
nindizi ihe, atu chu naghaketayeh: kahchu
nanitun, atu naghaketayeh ihe.
39. Jesus toowe ehti koole, Atu nanaghahun,
atuline keoosahch akehe keo-oahchassi sindizi
ihe, kwete ketseli hakehe sachuohooteissi.
40. Kahchu ayi atu chahte analiilai naghachinati.
41. Mea so chu nasrhaooalu
ehlaiti tsa taiso
manni tu woton tsindizi ihe, Christ ezon
manatunne aghli, kwa hli anaghaisii, atu tayatooalassi machitikechalihi.
42. Kahchu ooline chahteayile assine ehlaiti
tidi natsutli aha sooti, otehchi ootaizi atunewoh
mehnachahtune kazze tsye ma koos echaghesklu
ate, tyechunnityeh ate tu chok ticha tsi.
43. Kahchu nila chahtontye ate, hlyeniliul:
otaihchi oochu nuni gha kweghoya tsagliatati
i

ST. MARK IX.

43

acha'liililii
ihe. nila onketi ag;hoo
kochi otsio
o
tiya iyu aoontye khoon metselihi tsi, khoon
atu nanatsaisti :
44. Nootya atu taikyehti, khoon chu atu
nanatsaisti.
45. Kahchu nakye chahtontye ate, hlyenihul :
otaihchi oochu nuni gha kweghoya tsaghatati
achaghilihi ihe, nakye onketi aghoo ghotsinachatntyeissi khoon metselihi tsi, khoon atu
nanatsaisti:
46. Noota atu taikyehti, khoon chu atu
nanatsaisti.
47. Kahchu natai nihe atu oochu ookaitghai
ate, hanehchul : otaihchi nawotaizi Kagha
Tgha tike tsi oowooeissi natai ehlaiti ate, natai
onketi aghoo ate otsinachatuhtyelassi khoon
metselihi tsi:
48. Nootya atu taikyehti, khoon chu atu
nanatsaisti.
49. Aitye tane sootakun natghachulelassi
khoon ihe, tsichatullihi assi chu sootakun ihe
'

matghaachulehesi.
