A certain	Egia
In Mexico	Mexikon
The middle class	Klase ertaina
To become the middle of it	Emakumearen bitarteko izateko
To become the middle of the summer	Udako zentro bihurtzeko
To become the middle of the winter	Neguaren erdian egoteko
To become the middle of the night	Gauaren erdian egoteko
To become midnight	Gauerdira iristeko
Each other's mid-section	Bestearen erdiko sekzioa
Into each other's midst	Bestearen erdian
Miles	Milaka milia
Military officer	Ofizial militarra
Cow milk	Behi-esnea
Goat milk	Ahuntz-esnea
To do the milking	Jezteko
To milk it	Esnetan
To start to milk	Esnetan hasteko
To start to milk her	Lehortzen hasteko
Showy milkweed	Milkweed ikusgarria
Woolen mills	Woolen errotak
To be milling back and forth	Joan-etorria egiteko
They mill back and forth	Joan-etorriko errota
One million	Milioi bat
Lower millstone	Beheko errotaren harria
To be of one mind on it	Adimen batekoa izatea
To be unable to make up one's mind	Burua osatzeko gai ez izateko
To bring it to his mind	Bere burura ekartzeko
To change one's mind about it	Baten burua haren gainean aldatzeko
To have one's mind set on	Nork bere burua
To have in mind to go	Joateko gogoan izatea
To get on one's mind	Baten buruan lortzeko
To have it on one's mind	Baten buruan izatea
To have one's mind set on it	Norberaren burua bertan jarrita izatea
To put it in his mind	Bere buruan jartzeko
To set his mind at ease	Burua gustura jartzeko
Mine shaft	Meatze-ardatza
Iron or copper mine	Burdinazko edo kobrezko meatzea
Coalmine	Koalminea
To start to mine it	Egiten hasteko
Coalminer	Koalminerra
To mingle with one another	Batzuk besteekin nahasteko
In minutes	Minututan
minutes after the hour	orduaren ondorengo minutuak
White mirage stone	Ispilu zuriko harria
To be missing	Falta
To grab for it and miss it	Horretarako heltzeko eta galtzeko
To miss	Galtzeko
To miss him	Galtzeko
To miss him with a stream of spit	Listu-korronte batekin galtzeko
To miss it	Galtzeko
To miss it	Galtzeko
To miss it with a kick	Ostikada batekin galtzeko
To miss one's guess	Baten aierua galtzeko
Catholic missionary	Misiolari katoliko misiolaria
Protestant missionary	Misiolari protestantea
To be made	Egiteko
To be mistaken for him	Berak nahasteko
To make a mistake	Akatsa egiteko
To make a stupid mistake	Akats larri bat egiteko
To occur	Zertarako
To mistake him for him	Harengatik nahasteko
To have them on	Pizteko
To mix it with it	Harekin nahasteko
To mix them together	Elkarrekin nahasteko
To mix a drink or cocktail	Edari edo koktel bat nahasteko
Mixed with it	Harekin nahastuta
High moccasins with leggings	Mokasin altuak leggingekin
Tip of the moccasin	Mocasin-punta
To be a moccasin maker	Mocasin-fabrikatzailea izateko
Blanket curtain used in the moccasin game	Mokasinean erabilitako manta-gortina
Yucca counters used in the moccasin game	Jokorako mokasinean erabilitako kontagailuak
The indicator with which players in the moccasin game tap the moccasins and guess the location of the hidden ball	Moccasin jokoko jokalariek mokasinak jotzeko eta ezkutuko bolaren kokapena asmatzeko erabiltzen duten adierazlea
To be really good at guessing the location of the hidden ball in the moccasin game	Moccasin jokoan ezkutuko bola non dagoen asmatzea benetan ona izateko
Mock orange bow	Mock arkua laranja
To become moist	Heze bihurtzeko
To form a moist spot	Puntu heze bat eratzeko
To get moldy	Moldy lortzeko
In hard money	Diru gogorrean
Money bag	Diru-poltsa
To get money	Dirua lortzeko
To wire for money	Alanbrea dirutan
Monkey bars	Tximino-barrak
Monkey wrench	Tximino-giltza
To play monte	Mendian jolasteko
To be of months old	Hilabete adinekoa izatea
To spend a month	Hilabete bat pasatzeko
Last month	Joan den hilabetean
Next month	Datorren hilabetean
Monthly	Hilean behin
Thirteenth month	Hamahirugarren hilabetea
Half moon	Ilargi-erdia
Crescent moon	Ilgora
Full moon	Ilbetea
To appear	Agertzeko
To become a full moon	Ilargi betea bihurtzeko
To become a half moon	Ilargierdi bihurtzeko
More than half	Erdia baino gehiago
During the morning	Goizean
Every morning	Goizero
In the morning	Goizez
On that morning	Goiz horretan
This morning	Gaur goizean
This morning	Gaur goizean
To become midmorning	Goiz erdira iristeko
While it is still morning	Eta goiza izaten jarraitzen du
Most of you	Gehienak
Clothing moth	Arropa zuria
Yucca moth	Yucca oilaskoa
To make a motion at him	Bertan mugimendu bat egiteko
To make motions at him	Mozioak egiteko
To become motionless	Geldirik egoteko
To take up a static position with it	Harekin jarrera estatikoa hartzeko
Circular mound	Zirkulu-formako mendixka
To be mounded	Muntatzeko
At the base of the mountain	Mendiaren oinarrian
Along the base of the mountain	Mendiaren oinarrian
To the base of the mountain	Mendiaren oinarrian
Mountain Chant	Mendiko kantua
Mountain pass	Mendiko igarobidea
Mountain range	Mendikateko mendikatea
Mountain side	Mendiaren aldea
Mountain soil	Mendiko lurzorua
Mountain recess	Recess mendia
From the mountaintop	Mendiaren gailurretik
To the mountaintop	Mendiaren gailurrera
On the mountaintop	Mendiaren gailurrean
Mountain World	Mendialdea
On the mountain	Mendian
Over the mountain	Mendiari buruz
Lion skin hat	Lehoi-larruzko kapela
Mouth of a sack or bag	Zaku edo poltsa baten ahoa
By word of mouth	Ahoko hitz bakoitzeko
Inside the mouth	Ahoaren barruan
One's own mouth	Ahoa bera
To be going along with one's mouth full of it	Urez betetako norbaiten ahoarekin batera joateko
To get one's hand into its mouth	Eskua ahoan lortzeko
To have a mouthful of it	Hartaz mokadu bat izatea
To have one's mouth open	Ahoa irekita edukitzeko
To open one's mouth	Ahoa irekitzeko
To pour it into one's mouth	Ahoan botatzeko
To put them into his mouth one after another	Ahoan jartzeko, bata bestearen atzetik
To shove it into his mouth	Ahoan sartzeko
To go along with a mouthful of it	Haren ahokada batekin joateko
To have a mouthful of it	Hartaz mokadu bat izatea
On the move	Mugimenduan
To be on the move	Mugimenduan egoteko
They move in a compact group or crowd	Talde trinko edo jendetza batean mugitzen dira
To be enroute moving to the mountains	Mendira joateko
To be in the process of moving	Etxe-aldaketa prozesuan egotea
To be moved	Mugitzeko
To be moving	Mugimenduan egoteko
To be moving along cutting a course	Ikastaro bat moztean mugitzeko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along	Mugitzen egoteko
To be moving along with a herd	Artalde batekin batera mugitzeko
To be moving away from one	Batetik urruntzeko
To be moving along slowly	Astiro mugitzeko
To be moving one's arm	Besoa mugitzen egoteko
To begin to move in a rhythmic manner	Modu erritmikoan mugitzen hasteko
To cause it to start to move	Mugitzen has dadin
To feel it move	Mugitzen dela sentitzeko
To make it move	Mugitzeko
To move	Mugitzeko
To move	Mugitzeko
To move about	Inguruan mugitzeko
To move about	Inguruan mugitzeko
To move about	Inguruan mugitzeko
To move about	Inguruan mugitzeko
To move about in a stooped position	Posizio inklinatuan mugitzeko
To move across	Honen bidez mugitzeko:
To move across	Honen bidez mugitzeko:
To move along on one's buttocks	Baten ipurmasailetan mugitzeko
To move along on one's rump	Noraezean ibiltzeko
To move along skipping	Jauzi egitean mugitzeko
To move around from place to place	Leku batetik bestera mugitzeko
To move around from place to place	Leku batetik bestera mugitzeko
To move around in a circle en masse	Zirkulu masiboaren inguruan mugitzeko
To move around on one's buttocks	Baten ipurmasailetan mugitzeko
To move it aside	Alde batera mugitzeko
To move it aside by pushing first one side and then another	Alde batera mugitzeko, lehenengo alde bat eta gero beste bat bultzatuz
To move it aside by pushing first one side and then another	Alde batera mugitzeko, lehenengo alde bat eta gero beste bat bultzatuz
To move away	Urruntzeko
To move away	Urruntzeko
To move away	Urruntzeko
To move away burning	Erretzen urruntzeko
To move away from each other	Bata bestetik urruntzeko
To move away from him	Harengandik urruntzeko
To move away from it	Urruntzeko
To move away one after another	Bata bestearen atzetik urruntzeko
To move back to a location	Kokapen batera itzultzeko
To move for its approval	Onartzeko
To move forward	Aurrera egiteko
To move in front of it	Haren aurrean mugitzeko
To move in with one another	Bata bestearekin sartzeko
To move it	Mugitzeko
To move it	Mugitzeko
To move it forward	Aurrera egiteko
To move one's bowels	Erraiak mugitzeko
To move one's shoulder up and down	Sorbalda gora eta behera mugitzeko
To move out on one's buttocks	Baten ipurmasailetan ateratzeko
To move swiftly leaving a trail or wake	Azkar mugitzeko, bidezidor edo hilarri bat utzita
To move them	Mugitzeko
To move up	Gorantz mugitzeko
To move up one after another	Bata bestearen atzetik igotzeko
To start off moving	Mugitzen hasteko
To start off moving one's residence	Zure egoitza mugitzen hasteko
To start off one after another moving	Bata bestearen atzetik ibiltzeko
To start to move	Mugitzen hasteko
To start to move	Mugitzen hasteko
To start to move along	Mugitzen hasteko
To start to mow it	Mow-ean hasteko
We'll wait and see how much	Itxaron eta ikusi zenbat
Mud Clan	Lodoaren klana
To have a mud-slinging match with him	Harekin alderdi irakuzlea izateko
To be muddy	Lohitsua izateko
Arm muscle	Muskulu-besoa
Calf muscle	Muskuluaren kalkulua
Muscle at the back of the neck	Lepoaren atzealdeko muskulua
Muscle of the back	Bizkarreko muskulua
Muscle of the larynx	Laringeko muskulua
Muscle under the femur	Izterrezurraren azpiko muskulua
Upper arm muscle	Goiko besoko muskulua
Upper leg muscle	Zangoko muskuluaren goiko aldea
Muscle cramp	Muskulu-karranpa
Mush eating	Mush jan
To make cornmeal mush	Erlaitzeko mush egiteko
Cobbler's nail	Cobblerren azazkalak
Fingernail	Fingernail
Toenail	Toenaila
To nail it down	Behean sartzeko
To be named	Izendatua izateko
To be named thus	Horrela izendatzeko
To be named for him	Berak izendatua izateko
To be named	Izendatua izateko
To become or be one's name	Baten izena izateko edo izateko
To call each other insulting names	Beste izen iraingarri batzuei deitzeko
To call names	Izenak deitzeko
To call off their names	Izenei deitzeko
To call one's own name	Norberaren izena deitzeko
To name oneself	Bere burua izendatzea
To engage in a name calling contest with him	Harekin egindako dei-lehiaketa batean parte hartzeko
To have the name	Izena izateko
To name him	Izendatzeko
To name him	Izendatzeko
To name it as one's first choice or preference	Lehen aukera edo lehentasun gisa izendatzeko
To name them off	Kanpoan izendatzeko
To name them as members of a committee	Batzorde bateko kide izendatzea
To take a name	Izen bat hartzeko
To utter one's own name	Bere izena ahoskatzeko
To be napping	Napping izateko
Sanitary napkin	Zapi sanitarioa
To be narrated	Kontatzeko
To begin a narrative	Narratiba bat hasteko
To be very narrow	Oso estua izateko
It narrows	Estutzen da
The Navajo Reservation	Navajo Erreserba
Navajo Medicine	Navajo Medikuntza
Navajo food	Navajo jatekoa
The old Navajo country	Antzinako Navajo herrialdea
The upper crossing on Navajo Canyon southwest of the juncture of the Colorado and San Juan Rivers	Navajo arroilako goiko bidegurutzea, Colorado eta San Juan ibaien abagunearen hego-mendebaldean
Nuttail sunflower	Ekilore-nutaila
Sunflower bug	Ekilore-errorea
From far and near	Urrutitik eta gertutik
Very nearly	Oso gertu
Around the neck	Lepoaren inguruan
From the back of the neck	Lepoaren atzealdetik
From the side of the neck	Lepoaren aldetik
Muscle at the back of the neck	Lepoaren atzealdeko muskulua
On the side of the back of the neck	Lepoaren atzeko aldean
Scruff of the neck	Lepoko esfoliatzailea
Spinal neck tendons	Bizkarrezur-lepoko tendoiak
To put a rope around its neck	Lepoaren inguruan soka bat jartzeko
To put it around his neck	Lepoaren inguruan jartzeko
Sewing needle	Josteko orratza
Darning needle	Darning orratza
Evergreen needle	Evergreen orratza
To needle each other	Elkarri zulatzeko
To be his neighbor	Bizilaguna izatea
My neighbor	Nire bizilaguna
Anywhere in our neighborhood	Gure auzoko edozein lekutan
Husband's brother's or sister's child	Senarraren anaia edo arrebaren semea
Wife's brother's or sister's child	Emaztearen anaia edo arrebaren semea
Phrenic nerve	Nerbio fenikoa
To be unable to get up enough nerve	Behar adina nerbio ez altxatzeko
To get on each other's nerves	Besteen nerbioetan lortzeko
"To ""get on one's nerves"	"Urduri jartzeko"
To make him nervous	Urduri jartzeko
Bird nest	Hegaztien habia
Underground nest	Lurpeko habia
Newberry twin pod	Newberry pod bikoitza
To spread the news among them	Albisteak haien artean zabaltzea
Next Monday	Datorren astelehenean
Next Tuesday	Datorren asteartean
Next Wednesday	Datorren asteazkenean
Next Thursday	Datorren ostegunean
Next Friday	Datorren ostiralean
Next month	Datorren hilabetean
Next week	Datorren astean
To nibble on it	A nibble
It's nice	Atsegina da
To be very nice	Oso atsegina izateko
Niche	Nitxoa
Niche	Nitxoa
Niches between the logs inside a hogan	Enborren arteko nitxoak su baten barruan
Sister's daughter	Ahizparen alaba
Last night	Anoche gauez
To be overtaken by night	Gauez gainditzeko
To be passing	Pasatzen egoteko
To become night	Gaua izatera iristeko
To pass	Pasatzeko
To pass the night	Gaua pasatzeko
Nightfall overtakes one	Nightfall batek gainditzen du
Nine times	Bederatzi aldiz
Nine hundred	Bederatziehun eta bederatziehun
Nine thousand	Bederatzi mila
Nine of clubs	Bederatzi klub
Nine of diamonds	Bederatzi diamante
Nine of hearts	Bederatzi bihotz
Nine of spades	Bederatzi lagun
Nine of you	Zuetako bederatzi
Nineteen times	Hemeretzi aldiz
Nineteen hundred	Hemeretzi ehun
Nipple	Titiburuaren titiburua
To nod one's head	Burua lantzeko
To be a noise moving around ias around one's home)	Zure etxearen inguruan izien inguruan mugitzen den zarata izateko)
To be making a noise	Zarata egiteko
To be nominated	Izendatua izateko
There is none	Ez dago bat ere
There are none	Ez dago bat ere
To be noon	Eguerdia izateko
After noon	Eguerditik aurrera
To throw a noose at it	Noose bat abiarazteko
In the far north	Iparraldeko muturrean
From the north	Iparraldetik
Up north	Iparralderantz
To the northeast	Ipar-ekialdean
Northeastward	Northeastward
From the northeast	Ipar-ekialdetik
To the northwest	Ipar-mendebaldean
Northwestward	Ipar-mendebalderantz
From the northwest	Ipar-mendebaldetik
Across the mid-nose	Erdiko sudurretik
Bone of nose	Sudurreko hezurra
Bridge of the nose	Sudurreko zubia
Center of the nose	Sudurraren erdigunea
Depression on the lower side of the nose	Sudurraren behealdeko depresioa
From the side of the nose	Sudurraren aldetik
Right under his nose	Sudurraren azpian
Inside the nose	Sudurraren barruan
On the mid-nose	Erdiko sudurrean
On the nose	Sudurrean
On the exterior of the nose	Sudurraren kanpoaldean
Right on its nose	Sudurrean
Slope of the nose	Sudurraren malda
To be big-nosed	Big-nosed izateko
To nose around after information	Sudurrera, informazioa jaso ondoren
To have a nosebleed	Sudurreko hemorragia izateko
One's own nostrils	Norberaren nostril-ak
If not	Bai ez
To have a notch	Hozka bat izateko
To make a notch	Hozka bat egiteko
To hack a notch in it	Hozka bat egiteko
For nothing	Hutsaren truke
Nothing like it	Hori bezalako ezer ez
Practically nothing	Ia ezer ez
To have nothing to do	Ezer ez izatea
To notice it	Nabarmentzeko
To notify him about it	Horren berri emateko
From now on	Hemendik aurrera
Up to now	Orain arte
To be a nuisance to me	Niretzat gogaikarria izatea
Equal in number	Kopuru bera
To be in the greatest number	Kopururik handienean egoteko
To nurse on her	Erizainari
To nurse	Erizainari
To nurse it	Titia emateko
To stop nursing	Bularra emateari uzteko
Pinyon nut butter	Pinyon intxaurrezko gurina
Lug nuts	Lug-en intxaurrak
Pygmy nuthatch	Pygmy nuthatch
Rocky Mountain nuthatch	Nuthatch Rocky Mountain
Oak rouge; oak powder	Haritz gorria; haritz-hautsa
Oak thicket	Haritz-hezurra
Poison oak	Haritz pozoitsua
To take the oath of office	Bulegoko zin egiteko
To become obese	Gizen bihurtzeko
To be getting obese	Lortzeko
To observe it	Behatzeko
To obstruct him	Buxatzeko
To obstruct him	Buxatzeko
To obtain it from him	Lortzeko
To suddenly occur to one	Batari bat-batean gertatzeko
Oceanside	Ozeanoidea
Blue ochre	Okre urdina
Red ochre	Okre gorria
To have an odor	Usaina izatea
To have the odor of it	Usaina izatea
To be an odor	Usaina izatea
Off	Off-a
Off and on	Itzaltzea eta piztea
To take off one's clothes	Baten arropa kentzeko
Sacrificial offering	Hiltzeko eskaintza
Offering made to the supernaturals	Supernaturalei egindako eskaintza
To make a sacrificial offering	Hiltzeko eskaintza egiteko
To start having offspring	Ondorengoak izaten hasteko
How often	Zein maiztasunekin
Boy oh boy!	Mutil o, umea!
Oh dear!	Ene!
Oh! oh!	O! O!
Oh oh!	O!
Camphorated oil	Kanpatutako olioa
Castor oil	Errizino-olioa
Cod liver oil	Kod. gibel-olioa
Oil drillers	Olio-lehorgailuak
Oil drum	Olio-danborra
Oil lamp	Olio-lanpara
Oil of eucalyptus	Eukalipto-olioa
Oil seep	Seepolioa
Oil well	Olioa ondo
To change the oil	Olioa aldatzeko
To oil it	Gozatzeko
To put ointment on him	Ukendu bat egiteko
To be doing okay at it	Horretan ondo aritzeko
To be okayed	Okayed izateko
Old half buried hulk of a car	Auto baten hulk lurperatutako ingurune zaharra
Old hogan ruin	Hogan aurri zaharra
Old ruin	Aurri zaharra
Old age	Adinekoak
Old age pension	Zahartzaroko pentsioa
To be old and worn out	Zaharra eta gastatua izateko
To suffer from old age	Zahartzaroa
To get old enough to start to remember things	Gauzak gogoratzen hasteko adina zahartzeko
To start to get old	Zahartzen hasteko
In the olden days	Egun zaharretan
Olivella shell bead	Olivella maskor perla
On a vertical surface	Gainazal bertikal baten gainean
On behalf of	ren izenean
On behalf of him	Haren izenean
On behalf of oneself	Norberaren izenean
On the back of the lower leg	Beheko zangoaren atzeko aldean
On the biceps	Bizepetan
On the elbow	Ukondoan
On the leg	Hankan
To get it on oneself	Norberarengan lortzeko
To put it on	Hemen jartzeko:
To put it on	Hemen jartzeko:
To put it on him	Bertan jartzeko
Up on top	Goiko aldean
Every once in awhile	Aldi bakoitzean
Once more	Berriro ere
One dollar	Dolar bat
One hundred	Ehun
One thousand	mila
One million	Milioi bat
One after another	Bata bestearen atzetik
One more time	Berriro ere
Number one	Bat zenbakia
Green onion	Tipula berdea
onion rings	Tipula-eraztunak
To be the only survivor	Bizirik iraun duen bakarra izatea
Onto the roof	Sabaian
To ooze out	Kanporantz koipeztatzeko
To ooze inside	Barruan igurzteko
To be open	Irekita egoteko
To come open on one	Batean irekita etortzeko
To have one's mouth open	Ahoa irekita edukitzeko
To have one's eyes open	Begiak irekita edukitzea
To have one's legs open	Hankak irekita edukitzeko
To be open to them	Haietara irekita egoteko
To open	Irekitzeko
To open a way	Modu bat irekitzeko
To open automatically	Automatikoki irekitzeko
To open by itself	Bere kabuz irekitzeko
To open it	Irekitzeko
To open it	Irekitzeko
To open it	Irekitzeko
To open it	Irekitzeko
To open it	Irekitzeko
To open one's eyes	Begiak irekitzeko
To open one's legs	Hankak irekitzeko
To open one's mouth	Ahoa irekitzeko
To open out	Kanporantz irekitzeko
To open the warp	Irazkia irekitzeko
To open up for them	Irekitzeko
There are avenues open for them	Etorbide irekiak daude haientzat
To throw it open	Irekita botatzeko
To prepare an opening	Irekiera bat prestatzeko
There are openings	Irekierak daude
To operate	Eragiketak egiteko
To hold an opinion	Iritzi bati eustea
To hold an opinion about it	Horri buruzko iritzia izateko
To hold a similar opinion about it	Antzeko iritzia izateko
To hold that opinion about it	Hari buruzko iritzi horri eusteko
There are various opinions	Hainbat iritzi daude
Opportunity-maker	Oportunitasuna-maker
To make an opportunity for him	Harentzat aukera bat egiteko
To get an opportunity	Aukera bat lortzeko
There are opportunities open to them	Aukera irekiak daude haientzat
To oppose it for him	Berari aurka egitea
In opposite directions	Kontrako norabideetan
In the opposite direction from it	Kontrako norabidean
Opposite each other	Bata bestearen aurrean
Their tracks lead in opposite directions	Pistek kontrako norabideetan gidatzen dute
To be on the opposite side from him	Beste aldean egoteko
To protrude from opposite sides of it	Haren aurkako aldeak probatzeko
To flow in opposite directions from one another	Kontrako norabideetan ibiltzeko
Either --- or	Edozein --- edo
Orange squeezer	Laranja-zukugailua
To be put back in order	Berriro ordenatuta jartzeko
To put it back in order	Berriro ordenatzeko
To put things in order	Gauzak ordenan jartzeko
To start to put it in order	Ordenatzen hasteko
To start to put it back in order	Berriz ordenatzen hasteko
To restore it to working order	Laneko aginduetara leheneratzeko
To order him to do	Egiteko eskatzeko
To order him out	Kanpoan agintzeko
To order it	Enkargatzeko
Internal organs of the chest	Bularraren barneko organoak
Kidneys and associated organs	Giltzurrunak eta horiei lotutako organoak
Male sex organs	Gizonezkoen sexu-organoak
Thoracic organs	Organo torazikoak
Vital organs	Bizi-organoak
To originate it	Sortzeko
Orphans' home	Umezurtzen etxea
Some other time	Noiz edo noiz
Otter skin hat or cap	Larruzko txapel elikatua edo txanoa
To oust him	Kanporatzeko
To be down and out	Behean eta kanpoan egoteko
To be out of breath	Arnasketatik kanpo egotea
To be out	Kanpoan egoteko
To be no out	Kanpoan ez egoteko
To go out	Irteteko
From outdoors	Aire libretik
outdoors	aire zabalean
As far as outdoors	Aire libreraino
On the outdoor side	Kanpoko aldean
To look outdoors	Kanpora begiratzeko
Electric outlets	Hartune elektrikoak
To be given only an outline of it	Haren eskema bat bakarrik emateko
To outline it	Zirriborratzeko
To outrun him	Haserretzeko
Outside corner	Kanpoko izkina
To outstrip him	Handik irteteko
To be hard to outwit	Outwiten zaila izateko
Outdoor oven	Kanpoko labea
To put it over	Gutun-azalean jartzeko
To overdrink	Overdrink-erako
To overeat	Gehiegi jateko
To oversleep	A oversleep
To be overcome	Gainditzeko
To be overcome	Gainditzeko
To be overcome by heat	Beroak gainditzeko
To start to overeat on it	Jaten hasteko
From overseas	Atzerritik
overseas	atzerritarrak atzerrian
On the oversea side	Itsasoaren aldean
To be overtaken by night	Gauez gainditzeko
To be overtaken by trackers	Trackerrek gainditzeko
Owl fluff	Hontz ilusa
.To own it jointly with him	Harekin batera edukitzea
To oxidize it	Oxidatzeko
To be packed into it	Paketatzeko
To be packing it around	Inguruan paketatzen egoteko
To pack it around	Inguruan paketatzeko
To go about with a pack on one's back	Bizkarrean pack batekin joateko
To pack it	Paketatzeko
To pack it home	Etxean paketatzeko
To pack it on one's back as far as	Bizkarretik noraino paketatzeko
To pack it out on one's back	Bizkarrean paketatzeko
To pack them out on one's back one after another	Bizkarrean bata bestearen atzetik paketatzeko
To pack it up	Noiz arte paketatzeko
To pack them into it	Paketatzeko
To pack them onto it	Paketatzeko
To start off packing it on one's back	Bizkarrean paketatzen hasteko
To be paddling along	Denbora luzean arraun egiteko
To paddle it after it	Haren ondoren arraun egiteko
To paddle away from it	Harengandik urrun arraun egiteko
To paddle it away from it	Harengandik urrun arraun egiteko
To paddle around in a circle	Zirkulu batean inguratzeko
To paddle it around in a circle	Zirkulu batean inguratzeko
To paddle around it	Inguruan arraun egiteko
To paddle it around it	Inguruan arraun egiteko
To paddle into it	Arraunean egiteko
To paddle it into it	Arraunean egiteko
To paddle him	Betetzeko
To paddle them apart	Aparte biguntzeko
To start paddling it along after it	Haren ondoren arraunean hasteko
Metal pail	Metalezko paila
Heart pain	Bihotzeko mina
To cause pain	Mina eragin
To have a piercing pain	Min sakona izateko
To have a throbbing pain	Eztarriko mina izatea
To start to have labor pains	Laneko mina izaten hasteko
To take great pains with it	Berarekin min handia hartzeko
Car paint	Autoaren pintura
To paint	Pintatzeko
To paint him from head to foot	Burua zutik pintatzea
To paint it	Pintatzeko
To paint it yellow	Hori pintatzeko
To paint it red	Gorria pintatzeko
To paint it blue	Urdina pintatzeko
To paint it black	Beltza pintatzeko
To paint it gray	Grisez margotzeko
To paint it	Pintatzeko
To paint it	Pintatzeko
To paint oneself black	Beltza pintatzea
To paint oneself blue	Urdinez pintatzea
To paint oneself red	Gorria pintatzea
To paint oneself yellow	Horiz pintatzea
To start to paint it	Pintatzen hasteko
One-piece pajama	Pieza bakarreko lastama
From mid-palm crease to fingertips	Palmaren erdiko tolestetik fingertipetara
From the palm side of the hand	Esku-ahurraren aldetik
Major lines of the palm	Palmaren lerro nagusiak
Large pan	Ogi handia
Pots and pans	Eltzeak eta zartaginak
Sauce pan	Ogi-saltsa
women's panties	emakume-pantierrak
Pantry curtain	Jakitokiko gortina
Womens' pants	Emakumeentzako galtzak
Corrugated paper	Paper uzkurtua
Roofing paper	Teilatu-papera
To serve papers on him	Bertan paperak zerbitzatzea
To make paper bread	Paperezko ogia egiteko
Extending or progressing parallel with or to it	Harekin edo harantz paraleloan luzatu edo aurreratu
To set them side by side in parallel position	Alboan paraleloan jartzeko
They lie side by side in parallel position interspersed among each other	Elkarren ondoan, paraleloan, elkarrenganako mesede egiten diote
Paralyzed arm	Besoa geldirik
His parents	Gurasoak
To have the same parents as they do	Egiten dituzten guraso berak izatea
To be parked in it	Bertan aparkatzeko
To be parked	Aparkatzeko
Part of the day	Egunaren partea
Part of it	Haren zati bat
For the most part	Gehienak
The main part	Zati nagusia
To part	Alde batetik
To part	Alde batetik
To be a participant in it	Bertan parte hartzea
To become one of the participants in it	Parte hartzaile izateko
To participate in it	Parte hartzeko
To be partners	Bazkide izateko
To be partners with him	Bazkide izatea
The parts of a car	Auto baten zatiak
To hold a dinner party for him	Beretzat afari bat egiteko
Democratic party	Alderdi demokratikoa
Republican	Errepublikano errepublikanoa
To be passing	Pasatzen egoteko
To be passing	Pasatzen egoteko
To be passing	Pasatzen egoteko
To be passing	Pasatzen egoteko
To pass	Pasatzeko
To pass	Pasatzeko
To pass blood	Odola pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass by	Gainetik pasatzeko
To pass a year	Urtebete igaro
To pass a night	Gau bat pasatzeko
To pass the night in the open	Gaua openean pasatzeko
To pass the spring	Udaberria pasatzeko
To pass the summer	Uda pasatzeko
To pass it on to him	Berari pasatu
To pass the word around	Hitza inguruan pasatzeko
To pass the word on to him	Hitza harengana pasatzeko
To pass them out	Kanpoan pasatzeko
To pass unanimously	Aho batez pasatzea
To pass wind	Haizea pasatzeko
There are passes leading out	Badira kanporantz gidatzen duten sarrerak
Mountain pass	Mendiko igarobidea
To paste them together	Elkarrekin itsasteko
"To ""paste"""	""Itsatsi"""""
To pat him on the back	Bizkarrean jotzeko
To give him a pat on the back	Bizkarrean pat bat emateko
To pat oneself	Norberarentzako
To form yellow patches	Adabaki horiak osatzeko
To patch it up	Adabakia gorantz
His circular path	Bide zirkularra
Paved highway	Asfaltatutako errepidea
To paw at each other	Bat bestea prestatzeko
To start to paw out	Prestatzen hasteko
To make it pay off	Horretarako, ordaindu itzalita
To pay a fee	Kuota bat ordaintzeko
To pay a fine	Isuna ordaintzeko
To pay attention to him	Arreta jartzea
To pay no attention to it	Arreta ez emateko
To pay it back to him	Berriro berari ordaintzeko
To be paid back to him	Berriro berari ordaintzeko
To pay it no heed	Ordaintzeko ez arreta jarri
To pay him back	Bueltan ordaintzeko
To be paid back	Berriz ordaintzeko
Someone's going to pay for this!	Norbaitek ordainduko du hau!
To be close to a final payment	Azken ordainketatik hurbil egoteko
Payment for services	Zerbitzuengatiko ordainketa
To disturb the peace	Bakea hausteko
To become peaceful	Pazifiko izatera iristeko
Peach fuzz	Peach fuzz
Peach pit	Mertxika-putzua
Dried peaches	Mertxika lehorrak
To peck it	Berarentzat
To peck him on the head	Buruan botatzeko
To pee in the fire	Sutan zuritzeko
To pee on it	Zuritzeko
To pee on oneself	Norbera bakarrik
To start to pee	Pee-ra hasteko
To peek through it	Bertatik begiratzeko
To peek from behind it	Atzetik begiratzeko
To peel it	Zuritzeko
To peel it off	Kanpora zuritzeko
To peg it down	Beherantz itsasteko
To penetrate it	Sartzeko
To penetrate one	Bat sartzeko
Tip of the penis	Zakilaren tip-a
The different peoples	Herriak
The people on earth	Jendea lurrean
Where there are many people	Jende asko dagoen tokian
Bell pepper	Piper beltza
Black pepper	Piperbeltz beltza
Ground pepper	Piperbeltz ehoa
Hot yellow chile peppers	Txileko piper hori beroak
Red pepper	Piper gorria
Per year	Urteko
Per day	Eguneko
Electric percolator	Perkoladore elektrikoa
To make it perfectly	Behar bezala egiteko
To perform an autopsy	Autopsia egiteko
