I've bought a car	kotxe bat erosi dut
you have been dogged by misfortune	zorte txarra izan duzu
do-it-yourself store	brikolaje-denda
a domestic market	merkatu nazionala
a domestic equilibrium	barne-oreka
a domestic product	hemengo produktua
she dominates the whole group	talde guztia dauka menpean
my aunt always dominates the conversation	elkarrizketa beti nire izebak menderatzen du
a group of old men sat playing dominoes	gizon edadetu batzuk dominoan ari ziren
to donate blood	odola ematea
the blood donation campaign will begin next Sunday	odola emateko kanpaina igandean hasiko da
is this done?	gertu dago hau?
the fish is done	arraina eginda dago
we live next door to a pub	pub baten ondoan bizi gara
we live next door to a pub	pub baten ondoan bizi gara
he was doubtful	zalantzati zegoen
she's not down	ez dago behean
to go down	behera joan
the prices are going down	salneurriak behera doaz
I've not been feeling very well recently, I'm going downhill	ez nabil oso ondo aspaldian, maldan behera noa
I'm going downstairs	behera noa
wait downstairs	itxaron behean
to have a doze	kuluxka bat egin
to get drenched to the skin	hezurretaraino blai egin
you should dress smartly today	dotore jantzi beharko zenuke gaur
are the children dressed?	jantzita daude umeak?
she wears well	ondo janzten da
he drove the nail into the table	iltzea mahaian sartu zuen
driver's licence	gidatzeko baimena, gidabaimena
a driving licence	gidabaimena
she's been dropped from the team	taldetik kanpora utzi dute
can you drop me near my house?	nire etxetik hurbil utziko nauzu?
their success was due to their granny's efforts	amonaren ahaleginengatik lortu zuten arrakasta
the work is due to finish in July	uztailerako bukatu behar da lana
to be dumbfounded	mutu geratu
dump your things over there	utzi zure gauzak hor
during the concert	kontzertuan
to dust with sugar	azukre-hautsez hautseztatu
DVD player	DVD-irakurgailua
they love each other	elkar maite dute
they looked at each other and laughed	elkarri begiratu, eta barre egin zuten
each house has a door	etxe bakoitzak ate bat dauka
we won two t-shirts each	bina kamiseta irabazi genituen
they love each other	elkar maite dute
they looked at each other and laughed	elkarri begiratu, eta barre egin zuten
she's eager to get back home	etxera bueltatzeko irrikan dago
she's eager to get back home	etxera bueltatzeko irrikan dago
to be all ears	adi-adi egon
to play by ear	inprobisatu
to have an ear for music	musikarako belarri ona izan
early potatoes	patata goiztiarra
the early stage	hasierako etapa
the train was early	trena garaia baino lehen heldu zen
early booking is advisable	komeni da erreserba berehala egitea
she gets up early in the morning	goizean goiz esnatzen da
to earn a reputation	ospea irabazi
I earn my living	bizimodua ateratzen dut
a rise in average earnings	batez besteko diru-sarreren igoera
what on earth are you doing?	zer arraio ari haiz?
nothing on earth will stop her	mundu honetako ezerk ez du geraraziko
what on earth are you doing?	zer arraio ari haiz?
an earthenware pot	lurrezko eltzea
to be at ease	gustura egon
he eased slowly forwards	aurreraka mugitu zen astiro
I get bored easily	arin aspertzen naiz
the sun rises in the east	eguzkia ekialdetik sortzen da
the best beaches are to the east	hondartza onenak ekialdera daude
east wind	ekialdeko haizea
Easter Sunday	Pazko-igandea
Easter egg	Pazko-arrautza
an easy way	bide erraza
she has a very easy manner	jarrera oso lasaia du
to live comfortably	eroso bizi
take it easy	lasai zaitez
the worries eat away at her	kezkek barrua jan zioten
rust had eaten into the metal	herdoilak metala jan zuen
those repair bills have really eaten into my savings	konponketa-faktura horiek nire aurrezkiak murriztu dituzte
our dog takes less than a minute to eat up all her food	gure txakurrak minutu bat baino gutxiago behar du bere afari osoa irensteko
this car eats up a lot of gas	auto honek gasolina asko gastatzen du
the storm ate up the ship	ekaitzak itsasontzia irentsi zuen
I don't eat fish	arrainik ez dut jaten
where can we eat inexpensively?	non bazkaldu dezakegu merke?
the worries eat away at her	kezkek barrua jan zioten
rust had eaten into the metal	herdoilak metala jan zuen
those repair bills have really eaten into my savings	konponketa-faktura horiek nire aurrezkiak murriztu dituzte
our dog takes less than a minute to eat up all her food	gure txakurrak minutu bat baino gutxiago behar du bere afari osoa irensteko
this car eats up a lot of gas	auto honek gasolina asko gastatzen du
the storm ate up the ship	ekaitzak itsasontzia irentsi zuen
meat eater	haragijalea
he's a voracious eater	jatun beteezina
he is eavesdropping on his wife	emazteari ezkutuan entzuten ari zaio
eccentric behaviour	jarrera bitxia
total eclipse	eklipse oso
an ecological disaster	hondamendi ekologikoa
economic development	ekonomia-garapena
an economical car	auto ekonomikoa
we must economize on petrol	gasolina zuhur erabili behar dugu
an economy pack	pakete merkea
economy class ticket	turista-klaseko txartela
he's got the edge on me	ni baino aurrerago doa
she edged closer to the fire	sutarantz mugitu zen astiro
she used to edit a scientific magazine	zientzia-aldizkari bat zuzentzen zuen
the editorial staff	erredakzio-taldea
educational games	hezkuntza-jokuak
moray eel	aingira morea
negative effects	ondorio kaltegarriak
the film had a great effect on me	filmak gogotik hunkitu ninduen
to take effect	indarrean jarri
to effect a payment	ordainketa burutu
effective demand	benetako eskaria
the result of the race was effectively decided by the end of the day	lasterketaren emaitza, hain zuzen ere, eguna bukatu orduko eman zuten
the efficacy of the medicine	sendagaiaren eraginkortasuna
an efficient secretary	idazkari eraginkorra
to make an effort	ahalegindu
to spare no effort	ahalegin guztiak egin
she had the ability to sing effortless	erraz kantatzeko gaitasuna zuen
an effusive welcome	ongietorri beroa
egg white	zuringoa
egg yolk	gorringoa
hard-boiled egg	arrautza egosia
soft-boiled egg	arrautza erre-arina, arrautza epela
we can go either to Venezuela or to Argentina	edo Venezuelara edo Argentinara joan gaitezke
you can sit on either side of the table	mahaiaren edozein aldetan jar zaitezke
a camera on either side of the building	kamera bat eraikinaren alde bakoitzean
Amy can't go and I can't either	Amy ezin da joan eta ni ere ez
we can go either to Venezuela or to Argentina	edo Venezuelara edo Argentinara joan gaitezke
the police ejected the protesters from the hospital	poliziak manifestatzaileak ospitaletik kanporatu zituen
an elaborate computer system	konplexutasun handiko ordenagailu sistema
she didn't elaborate on her reasons	ez zituen bere arrazoiak zehaztu
five years elapsed	bost urte igaro ziren
an elastic headband	bururako xingola elastikoa
this skirt needs some new elastic in the waist	gona honek goma berria behar du gerrian
Tom's eldest sister	Tom-en arreba nagusia
he was the eldest of four brothers	lau anaietan zaharrena zen
the president elect	presidente hautetsia
election day	hauteskunde-eguna
there's an element of truth in her words	bere hitzetan badago egiaren arrasto bat
the elements of physics	fisikaren hastapenak
elementary geometry	oinarrizko geometria
elementary, dear Watson	jakina, ene Watson
I could elicit no response from him	ezin izan nion erantzunik atera
an eligible bachelor	mutil ezkongaia
to eliminate salt from your diet	zure dietatik gatza kendu
he was eliminated from the competition	lehiaketatik kanporatu zuten
an elite circle of painters	margolari-talde aparta
an eloquent speaker	hizlari ele-ederra
his eyes were eloquent	bere begiak adierazgarriak ziren
anything else?	besterik?
who else is going?	nor gehiago doa?
everywhere else	beste toki guztietan
he tends to elude his responsabilities	bere ardurei itzuri egiten die
the thief eluded the police	lapurrak ihes egin zion poliziari
an elusive solution	ebazpen saiheskorra
she embarked upon a new career	karrera berri bati ekin dio
she embarked upon a new career	karrera berri bati ekin dio
I feel embarrassed	lotsatuta nago
how embarrassing!	ze lotsa!
an embarrassing situation	egoera deserosoa
the bullet embedded itself in the wall	bala paretan sartu zen
a sick and embittered old man	agure gaixo eta samindua
to embody new features	ezaugarri berriak izan
to embrace feminism	feminismoa onartu
a new emerging company	enpresa sortu berria
the emergency exit	larrialdiko irteera
to emigrate south	hegoaldera migratu
an eminent surgeon	kirurgialari bikaina
to put emphasis on sth	zerbait azpimarratu
his speech emphasized the importance of ponds	bere hitzaldiak urmaelen garrantzia azpimarratu zuen
she is skilled in the employment of computers	trebea da ordenagailuak erabiltzen
empty words	alferrikako berbak
to empty the pockets	poltsikoak hustu
to empty waste in the mountain	zaborra mendian bota
to empty in Biscay	Bizkaian itsasoratu
to emulate his brother	bere anaiaren mailara iritsi nahi izan
this rope wil enable you to climb the mountain	soka honi esker mendira igo ahalko zara
my feet were encased in mud	oinak lokatzetan harrapatuta neuzkan
encircle the errors	akatsak biribil batez markatu
the river encircles the village	ibaiak herria inguratzen du
please find enclosed the photographs	honekin batera argazkiak doazkizu
they built a moat to encompass the castle	lubanarro batez inguratu zuten gaztelua
linguistics encompasses different areas of language research	hizkuntzalaritzak hizkuntzaren azterketa-eremu batzuk barne hartzen ditu
my parents have always encouraged me in everything	nire gurasoek beti eman izan didate adorea edozertarako
to encourage economy	ekonomia sustatu
a few words of encouragement	hitz pizgarriak
I won't encroach on your time any longer	ez dizut denbora gehiago kenduko
at the end of the day	egunaren bukaeran
I brought the meeting to an end	bilerari bukaera eman nion
political end	helburu politikoa
she lives at the end of the street	kalearen muturrean bizi da
a cigarette end	zigarreta-punta
to end the relashionship	harremanak bukatu
I'll end the book tomorrow	bihar amaituko dut liburua
he ended up in Madrid	non eta Madrilen bukatu zuen
endangered species	galzoriko espezieak
this behaviour endeared her to me	jarrera horrekin begiko egin zitzaidan
terms of endearment	hitz goxoak
a happy ending	amaiera zoriontsua
endless chain	kate amaigabea
to endorse a ban on sth	zerbaiten debekua onetsi
to be endowed with intelligence	adimenaren dohaina izan
to be endowed with intelligence	adimenaren dohaina izan
I learned to endure the heat	beroa eramaten ikasi nuen
nothing can endure forever	ezer ez da betiko
to become enemies	etsaitu
they are trying to enforce the new law	lege berria betearazi nahian ari dira
to enforce cooperation	lankidetza behartu
an enforced unemployment	nahitaezko langabezia
to be engaged with young people	gazteekin jardun
to engage the clutch	lozagia sartu
I phoned earlier but you were engaged	lehenago deitu dizut, baina telefonoa okupatuta zenuen
an engaging look	begirada erakargarria
engrossed in thought	gogoetan murgilduta
engulfed in flames	sugarretan irentsirik
engulfed by work	lanez gainezka
to enhance the reputation	ospea goratu
to enjoy summer	udara ongi pasatu
I enjoy playing the piano	pianoa jotzea gustatzen zait
enjoy yourselves!	ondo pasa!
he's always enjoyed good health	beti eduki du osasun ona
to have an enjoyable evening	iluntze atsegingarria igaro
to enlarge a photograph	argazkia handitu
she enlarged on the principal ideas in her talk	bere hitzaldiko ideia nagusiak luze eta zabal azaldu zituen
enlargement of a picture	argazkiaren handitzea
to enlighten one's mind	adimena argitu
enlightened ideas	ideia aurrerakoiak
an enormous amount of money	sekulako dirutza
to have enough room	nahiko leku izan
to be strong enough	nahikoa indar izan
is this enough?	nahikoa da?
she enquired the reason	arrazoia galdetu zuen
she enquired where he was going	nora zihoan galdegin zuen
to enrich with vitamins	bitaminaz aberastu
an example ensued	adibide batek segitu
to ensure the victory	garaipena segurtatu
what does this move entail?	zer ondorio du mugimendu honek?
knock the door before you enter, please	atea jo sartu aurretik, mesedez
an enterprising youth	gazte ekintzailea
to entertain suspicion	susmoa gogoan hartu
this film will enthral a lot of children	film honek ume asko erakarriko ditu
an enthusiastic welcome	ongietorri sutsua
to entice customers	bezeroak erakarri
the entire day	egun guztia
he has read the entire book	osorik irakurri du liburua
we are all entitled to equal protection under the law	denok dugu eskubidea legeak berdintasunez babes gaitzan
a book entitled Live	Live izeneko liburua
entrance examination	sarrera-azterketa
entrance fee	matrikula-tasa
she entranced my heart	bihotza sorgindu zidan
she entreated him to give her something to eat	jateko zerbait emateko erregutu zion
she made a graceful entree into the ballroom	dotore sartu zen dantza-aretoan
we entrusted the pilot with our lives	pilotuaren esku utzi genituen gure bizitzak
no entry	ez sartu
entry form	izena emateko orria
fog enveloped the house	lainoak erabat bildu zuen etxea
environmental pollution	ingurumenaren kutsadura
it is envisaged that he'll come to visit us	ustez, bisitan etorriko zaigu
he is green with envy	inbidiaz amorratzen dago
he envied her sister	arrebari inbidia zion
epic poetry	poesia epikoa
a flu epidemic	gripe-epidemia
an epidemic of robbery	lapurreten epidemia
to reach epidemic proportions	epidemia-mailara iritsi
he is the epitome of good breeding	heziketa onaren eredu da
to have an equable temperament	aldarte lasaikoa izan
an equable climate	klima egonkorra
equal opportunities	aukera berdinak
my house is equal to the size of yours	nire etxea zurea adinakoa da
looking for my equal	nire berdinaren bila
12 divided by 2 equals 6	12 zati 2 berdin 6
some people equate violence with respect	zenbaitek indarkeria errespetuarekin parekatzen dute
to equip students for work	ikasleak lanerako prestatu
office equipment	bulegoko ekipamendua
an equitable treatment	bidezko tratamendua
an equivocal answer	erantzun zalantzagarria
to eradicate racism	arrazakeria errotik kendu
to erase an idea from memory	ideia bat burutik kendu
an erect posture	jarrera tentea
to erect a barrier	barrera bat altxatu
the rocks have eroded away over time	haitzak higatzen joan dira denboraren poderioz
her confidence was eroded	konfiantza gutxitu zitzaion
your information is erroneous	zure informazio hori okerra da
human error	giza akatsa
at the end, the war erupted	azkenean, gerra piztu zen
they escalated the bombing	bonbardaketa areagotu zuten
to have a narrow escape	larri-larri libratu
hard work is his escape from worry	gogor lan egitea da kezkatik ihes egiteko duen bidea
that escaped your notice	horrek ihes egin dizu
I'll escort you home	etxera lagunduko dizut
I have bought it especially for you	zeuretzat erosi dut
in essence	funtsean, berez
to establish relationships between different cultures	kultura ezberdinen arteko harremanari hasiera eman
to establish norms	arauak ezarri
to establish in London	Londresen kokatu
a family establishment	familia-enpresa
a financial establishment	finantza-etxea
an educational establishment; school	ikastetxea
the Establishment	sistema
she is held in high esteem	begirune handia diote
in my estimation, she is innocent	nire iritziz, errugabea da
eternal love	betiereko maitasuna
ethnic costumes	jantzi etnikoak
ethnic cleansing	garbiketa etnikoa
the people from the top floor were evacuated	azken solairuko pertsonak ebakuatu zituzten
they had to evacuate the shopping center	merkataritza-gunea utzi behar izan zuten
to evade the issue	arazoa/gaia saihestu
I evaded answering his proposal	bere proposamena erantzutea saihestu nuen
to evaluate the latest exam results	azterketaren azken emaitzak ebaluatu
my hopes evaporated a long time ago	aspaldi galdu nituen itxaropenak
tax evasion	zerga-iruzurra
she gave us an evasive answer	erantzun lausoa eman zigun
on the eve of the French Revolution	Frantziako Iraultzaren bezperan
I'll go even if it rains	euria egin arren joango naiz
Chinese is very difficult to learn, even so, I'd like to try	txinera oso zaila da ikasten; hala ere, saiatu egin nahi dut
an even bargain	tratu justua
an even kilo	kilo bat zehatz
even a child knows better	ume batek ere hobeto daki hori
you eat even more than I do	nik baino oraindik gehiago jaten duzu
I'll go even if it rains	euria egin arren joango naiz
Chinese is very difficult to learn, even so, I'd like to try	txinera oso zaila da ikasten; hala ere, saiatu egin nahi dut
to have an enjoyable evening	iluntze atsegingarria igaro
who's minding the children this evening?	nork zainduko ditu haurrak gaur gauean?
evening dress	gaueko soinekoa
in the event of his death	hilko balitz
in the event of his death	hilko balitz
have you ever been abroad?	izan zara sekula atzerrian?
hardly ever	ia inoiz ez
he went earlier than ever	sekula baino lehenago joan zen
an ever-present danger	betiko arriskua
how ever did you do that?	nola egin duzu hori, bada?
everlasting admiration	betiereko mirespena
she comes every fourth day	lau egunez behin etortzen da
they visit us every other Sunday	igande batean bai, bestean ez bisitatzen gaituzte
every single day	egun bakoitza
the train leaves every hour	trena orduro ateratzen da
she had every reason	arrazoi guztia zuen
she comes every fourth day	lau egunez behin etortzen da
they visit us every other Sunday	igande batean bai, bestean ez bisitatzen gaituzte
everybody has come	mundu guztia etorri da
everyday life	eguneroko bizitza
everyone has a chance to win	denek dute irabazteko aukera
she has eaten everything	dena jan du
an evident mistake	bistako akatsa
the evils of drug	drogaren zorigaitzak
the evils of power	boterearen makurkeria
evocative sounds	soinu gogorarazleak
evolve a style of one's own	norbere estiloa garatu
my ex	nire senar ohia
the symptoms were exacerbated by the medicine	sendagaiak larriagotu egin zituen sintomak
to exact obedience	esana egitera behartu
an exacting lecturer	irakasle zorrotza
how many biscuits did you eat exactly?	zehazki zenbat gaileta jan dituzu?
it's exactly one o'clock	ordu bata puntuan da
that's exactly what I need	horixe da, hain zuzen ere, behar dudana
"are you suggesting I stay at home today?" —; "exactly"	—;gaur etxean egoteko esan nahi duzu? —;bai, hori da
the police examined my luggage at the airport	poliziak ekipajea miatu zidan aireportuan
I'll examine your proposal	zure proposamena estudiatuko dut
his mood exasperates me	bere umoreak sumindu egiten nau
to exceed expectations	itxaropenak gainditu
to exceed the speed limit	neurriz gaineko abiadura eraman
to excel in music	musikan gailendu
congratulations! you've really excelled yourself	zorionak! sekulako arrakasta izan duzu
we've nothing to do except wait	itxaron besterik ezin dugu egin
children under twelve excepted	hamabi urtetik beherako umeak salbuetsita
I took exception to his behaviour	haserretu egin ninduen bere jokaerak
with the exception of Martin	Martin izan ezik
I took exception to his behaviour	haserretu egin ninduen bere jokaerak
an exceptional circumstance	ohiz kanpoko egoera
an exceptional dinner	afari bikaina
to throw away excess food	janari soberakinak bota
excess demand	gehiegizko eskaria
excessive noise	gehiegizko zarata
bread in exchange of flour	ogia irinaren truke
to exchange euros for pounds	euroen truke liberak eman
to exchange presents	opariak elkarri eman
you tend to get over excited	gehiegi asaldatzen zara
to excite curiosity	jakin-mina sortu
I'm very excited about the trip to Jamaica	erabat gogoberotuta nago Jamaikarako bidaiarekin
an exciting opportunity	aukera zirraragarria
to exclude somebody	norbait baztertu
to be excluded from the party	jaialditik egotzia izan
social exclusion	gizarte-bazterketa; gizarte-bazterkeria
an exclusive interview	elkarrizketa esklusiboa
an excruciating pain	min bizia
she always justifies his rudeness	beti zuritzen du bere zakarkeria
to execute prisoners	presoak hilarazi
an executive board	batzorde betearazlea
to exemplify each idea	ideia bakoitza ereduz adierazi
to be exempt from tax	zergak ordaindu beharrik ez izan
tax exemption	zerga-salbuespena
the elderly should excercise too	helduek ere ariketak egin beharko lituzkete
to exercise the right	eskubidea erabili
to exert authority	agintea erabili
she exerted herself to win the race	lasterketa irabazten ahalegindu zen
to exhale deeply	arnasa sakon bota
to exhaust the water supply	ura agortu
we were exhausted after the bike ride	bizikleta-saioaren ondoren jota geunden
an exhausting exam	azterketa nekagarria
an exhaustive research	ikerketa sakona
he exhibited his last work	bere azken lana aurkeztu zuen
she exhibited her happiness	bere poza azaldu zigun
a exhilarating walk	ibilaldi suspergarria
to exile the prisoners to Australia	presoak Australiara atzerriratu
take the next exit	hartu hurrengo irteera
we exited through/via the back door	atzeko atetik joan ginen kanpora
I expect friendship from you	zu nire laguna izatea espero dut
to be expecting a visit	bisita baten zain egon
to be expecting	haurdun egon
I expect my students to arrive in time	goiz iristeko eskatzen diet ikasleei
I expect they'll be hungry	gose izango direlakoan nago
life expectancy	bizi-itxaropena
to be expectant	adi-adi egon
an expectant face	aurpegi itxaropentsua
an expedient strategy	estrategia komenigarria
immigrants have been expelled from the city	immigranteak hiritik kanporatu dituzte
this bike is very old; I think it is already expendable	bizikleta hau oso zaharra da; uste dut ordezkoa behar duela jada
at the company's expense	lantegiaren kontura
to laugh at the friends' expense	lagunen kontura barre egin
all expenses paid	gastu guztiak ordainduta
at the company's expense	lantegiaren kontura
to laugh at the friends' expense	lagunen kontura barre egin
an expensive watch	erloju garestia
to experience happiness	poztasuna sentitu
I am experiencing a lot of pain	asko ari naiz sufritzen
to experiment on animals	animaliekin saiakuntzak egin
an expert engineer	ingeniari aditua
my credit card expires tomorrow	kreditu-txartela bihar iraungitzen zait
my membership has expired	bazkidetza bukatu egin zait
let me explain, please	utzi azaltzen, mesedez
to explain the exercise	ariketa azaldu
explanatory notes	ohar argigarriak
explicit directions	agindu esplizituak
the bombs exploded far away	lehergailuak urruti zartatu ziren
Sally exploded all of a sudden	Sally sutan jarri zen bat-batean
to exploit the rainforest	euri-oihana ustiatu
we explored all around the mountain	mendiaren inguru guztia esploratu genuen
explosive news	aparteko berriak
to export fish	arraina esportatu
to expose our skin to the sun	larruazala eguzkiaren eraginpean jarri
to expose to radiation	erradiazioaren eraginpean jarri
he exposed the face of the murderer	hiltzailearen aurpegia agerian jarri zuen
express mail	posta urgentea
an express command	agindu zehatza
he expressed his fears clearly	bere beldurrak argi azaldu zituen
freedom of expression	adierazpen-askatasuna
an expressive look	begirada adierazkorra
she has an exquisite taste	gustu finekoa da
to extend the house	etxea handitu
to extend the garden until the fence	lorategia hesiraino zabaldu
extensively damaged	erabat kaltetuta
she has travelled extensively	toki askotan ibilia da
extenuating circumstance	zirkunstantzia aringarria
they extinguished the fire in the end	sua itzali zuten azkenean
to extol the virtues	dohainak goretsi
please, take extra care with this	mesedez, izan aparteko kontua honekin
to pay extra	gehiago ordaindu
to extract information	informazioa atera
an extraordinary meeting	ohiz kanpoko bilera
an extraordinary woman	andre aparta
an extravagant present	luxuzko oparia
extravagant promises	promesa bitxiak
extreme cold	berealdiko hotza
in an extreme situation	muturreko egoeran
member of the extreme right-wing	eskuin-muturreko kidea
the opposite extreme	kontrako mutur
to extricate the car from the sand	kotxea hondarretik atera
she exudes happiness	pozez gainezka dago, poz-pozik dago
the plant exudes a sticky fluid	landareak likido itsaskorra jariatzen du
she has an eye for fresh talent	begi ona du talentu berriak aurkitzeko
the eye of a hurricane	urakanaren begia
he occasionally eyed my cake	noizbehinka nire pastela begiratzen zuen
eyebrow pencil	begi-lapitza
fabulous characters	alegiazko pertsonaiak
my bedroom faces the sea	nire logelak itsasora ematen du
to face a difficult situation	egoera gaitz bati aurre egin
to face the consequences of a divorce	dibortzioaren ondorioak pairatu
to face north	iparraldera begiratu
a face-to-face conversation	aurrez aurreko elkarrizketa
peace facilitates negotiation	bakeak negoziazioa errazten du
cooking facilities	janaria prestatzeko zerbitzua
all rooms have private facilities	logela bakoitzak bere bainugela du
sports facilities	kirol-instalazioak
he has a gift for languages	hizkuntzak ikasteko erraztasuna du
I don't like cities. In fact, I don't enjoy noisy places	hiriak ez ditut atsegin. Izan ere, toki zaratatsuak ez ditut gustuko
the accusation is based on hard facts	salaketaren oinarrian datu sendoak daude
I don't like cities. In fact, I don't enjoy noisy places	hiriak ez ditut atsegin. Izan ere, toki zaratatsuak ez ditut gustuko
the applause faded away	txaloak poliki-poliki isilduz joan ziren
her voice faded away	haren ahotsa motelduz joan zen
we'd watched her fading away in front of our eyes	pixkanaka itzaltzen zihoala ikusten genuen
my jeans faded in the washing machine	nire galtza bakeroei kolorea joan zaie ikuzgailuan
the hopes for peace faded away again	bakearen itxaropena berriz desagertu da
the applause faded away	txaloak poliki-poliki isilduz joan ziren
her voice faded away	haren ahotsa motelduz joan zen
we'd watched her fading away in front of our eyes	pixkanaka itzaltzen zihoala ikusten genuen
to fail a friend	lagunari huts egin
he never fails to email every week	astero, hutsik egin gabe, bidaltzen du mezu bat
a faint light	argi indargabea
a faint hope	hutsaren hurrengo itxaropena
it's very hot here, I feel faint	bero handia dago hemen, zorabiatuta nago
I nearly fainted	ia zorabiatu egin naiz
it's not fair!	ez dago eskubiderik!; ez da bidezkoa!
take the children to the fair	umeak barraketara eraman
a cattle fair	ganadu-feria
a book fair	liburu-azoka
a fair-haired boy	mutil ilehoria; ile horiko mutila
a fairly difficult situation	egoera bihurri samarra
to treat sb fairly	norbait zintzotasunezhartu
a faithful friend	lagun leiala
a rock fall	arrokak erortzea
Iguazu Falls	Iguazuko ur-jauziak
the enemy fell back	etsaiak atzera egin zuen
to fall for each other	elkarrekin maitemindu
the ceiling fell in last night	atzo gauean sabaia erori zen
I fell out with my mother	amarekin ika-mika izan nuen
the car fell into the river	autoa ibaira erori zen
the temperature continues to fall	tenperaturak jaisten jarraitzen du
to fall asleep	lo geratu; lo hartu
the enemy fell back	etsaiak atzera egin zuen
to fall for each other	elkarrekin maitemindu
the ceiling fell in last night	atzo gauean sabaia erori zen
I fell out with my mother	amarekin ika-mika izan nuen
to lie fallow	lugorri utzi
a false clue	aztarna faltsua
false words	ele zuriak
to falsify accounts	kontuak faltsutu
a familiar face	aurpegi ezaguna
finally, the piece of news became familiar	azkenean, berria zabaldu egin zen
a familiar chat	lagunarteko solasaldia
to become famous	ospetsu egin
a crossword fanatic	hitz gurutzatuen zale amorratua
religious fanatics	erlijioaren fanatikoak
a fancy hotel	luxuzko hotela
I fancy a cup of coffee	kafe bat nahi dut
he fancies that girl	neska hori gustatzen zaio
she fancied the soft murmur of voices	berbaro ahul bat begitandu zitzaion
she fancies herself as an excellent cook	sekulako sukaldaritzat du bere burua
fantastic weather	eguraldi ederra
far from being angry, I'm delighted about the news	ez naiz haserretu; aitzitik, izugarri poztu nau berriak
how far is Madrid from Paris?	zer distantzia dago Madril eta Paris artean?
how far is the beach?	zer bide dago hemendik hondartzara?
how far did you go?	noraino joan zineten?
it's not far from here	ez dago hemendik urruti
are you going far?	urrun zoaz?
we talked far into the night	gauean berandu arte aritu ginen hizketan
to go farther back/ahead in time	denboran atzera/aurrera egin
I have a far better idea	askoz ere ideia hobea dut
he sat down at the far end of the room	gelaren muturreko txokoan eseri zen
a far country	lurralde urruna
far from being angry, I'm delighted about the news	ez naiz haserretu; aitzitik, izugarri poztu nau berriak
how far is Madrid from Paris?	zer distantzia dago Madril eta Paris artean?
how far is the beach?	zer bide dago hemendik hondartzara?
how far did you go?	noraino joan zineten?
to farm the land	lurra landu
fish farming	arrain-hazkuntza
sheep farming	artzaintza
far-reaching benefits	onura garrantzitsuak
travelling has always fascinated me	bidaiatzeak beti liluratu izan nau
fascinating news	berri zoragarriak
the clock is five minutes fast	ordularia bost minutu aurreratuta dago
don't drive so fast, please!	ez gidatu hain azkar, mesedez!
she is fast asleep	lo seko dago
I fasted for two days at the hospital	bi eguneko baraua egin nuen erietxean
to fasten the shirt	alkandora lotu
I fastened the sticker to the windscreen	eranskailua kotxearen aurreko leihoan itsatsi nuen
he planned the journey in fastidious detail	zehatz, ipi-apa guztiekin, antolatu zuen bidaia
he was very fastidious about cleaning	oso zorrotza zen garbitasunarekin
a fat volume on history	historiari buruzko liburuki lodia
low fat foods	koipe gutxiko janaria
a fatal error	zoritxarreko akatsa
a fatal accident	istripu hilgarria
a fat-free yoghurt	jogurt gaingabetua
I can't fathom your words	ez ditut zure hitzak ulertzen
fatty hamburger	hanburgesa koipetsua
a faulty system	sistema akastuna
I'm in favour of girls	nesken alde nago
we voted in favour of the strike	grebaren alde eman genuen botoa
the government favoured the gradual introduction of new measures	gobernuak neurri berriak pixkanaka sartzea hobetsi zuen
the new law favours us	lege berriak mesede egiten digu
we voted in favour of the strike	grebaren alde eman genuen botoa
favourable results	aldeko emaitzak
my favourite meal	nire bazkari gustukoena, nire gustuko bazkaria
a favourite daughter	alaba kutuna
the race was won by the favourite	lasterketa faboritoak irabazi du
fax number	fax-zenbakia
to send faxes	faxak bidali
fax me your reply	bidal iezadazu zure erantzuna faxez
she didn't fear death	heriotzari ez zion beldurrik
a fearless boy	mutil ausarta
a feasible project	proiektu egingarria
the play features a well-known actor	antzezlanean aktore ezagun bat da protagonista
parsley features in all his recipes	perrexila bere errezeta guztietan azaltzen da
a federal system	sistema federala
a feeble old man	agure pattala
to feed babies	umeak elikatu
she fed coins into the machine	txanponak sartu zituen makinan
the water feels warms	ura epela dago
I felt a gust of cold wind	haize-bolada hotz bat sentitu nuen
I felt it was appropriate for you	zuretzat egokia zela pentsatu nuen
I feel cold	hotzak nago
to feel lucky	zorioneko izan
to feel happy	pozik egon
do you feel like going out	nahi duzu kalera joan?
to feign another's voice	beste baten ahotsa egin
he is a good fellow	lagun ona da
a fellow student	ikaskidea
fellow workers	lankideak
my fellow passenger	nire bidelaguna
a female cat	katu emea
the female sex	sexu femeninoa
the victim was female	biktima emakumea zen
a feminine voice	emakume-ahotsa
they put a fence up round the house	etxea hesitu dute
wine is made of fermented grape juice	ardoa irakindako mahats-zukutik egiten da
they ferried us to the island	irlaraino eraman gintuzten
a fervent supporter	jarraitzaile sutsua
put a plaster on it or it will fester	tirita bat jartzen ez baduzu, zoldu egingo zaizu
in festive mood	jai-giroan
we festooned the room with banners	banderatxoekin apaindu genuen gela
could you fetch the children from school?	ekarriko dituzu umeak eskolatik?
this family has been feuding for years	familia hau urteetan dabilliskartuta
a feudal society	gizarte feudala
he was aching and feverish	minez eta sukarrarekin zegoen
he worked with feverish haste	korrika eta presaka egin zuen lan
I'd like a few more	gehixeago nahi nituzke
few people understand Basque	jende gutxik ulertzen du euskaraz
quite a few people are coming later	batzuk beranduago etorriko dira
very few will argue against it	oso gutxik eztabaidatuko luke horren kontra
