 A certain	 léi 
White blood corpuscles	 dił bii' ndaa'eełí łigaaígíí 
Red blood corpuscle	 dił łichí'ígíí 
Red blood corpuscle count	 dił łichí'ígíí wólta' 
white blood corpuscle	 dił łigaaígíí 
White blood count	 dił łigaaígíí wólta'
Picket type sheep corral	 dibé bighan náneeskálígíí 
Corral Dance	 'Ił Náshjingo hatáál 
Arrow used in arrow swallowing ritual in the Corral Dance	 k'aatsoh yist'ání
To be corrected	 hasht'enálnééh 
To start to correct it	 hasht'enábi'niishdlééh
It costs	 bą́ą́h 'ílį́  
To cost	 bą́ą́h 'ílį́  
To cost him	 bee bits'áneedééh  
Cotton cloth	 naak'a'at'ą́hí 
Cotton candy	 'ałk'ésdisí ndik'ą' ndahalinígíí
To cough it up	 hadiskees  
To cough it back up	 hanáshneeh  
To cough up blood	 dił shiyi'dę́ę́' hahidiskees  
To get  out of breath and start coughing	 biyi' hoołch'ííh 
To start coughing	 hadiskees 
-go 'át'é	 -go haz'ą́ + Future tense 
Could it be that -- 	 dó' + verb + ísh łí
To lose count	 ńdí·níshtááh 
Population count	 diné wólta'
To count	 'anishłį'  
To count oneself with them	 bííníshtą'  
To count on him	 ba·ííníshłí  
To count on him	 bee ha'ííníshní  
Counting all of them	 'ahióóltą'go  
Counting him	 bił 'ólta'go  
Counting them	 bidaóóltą'go  
To start counting them	 bi'ííníishtááh
Countries	 kédaayah
A couple of us	 ndiniilt'é 
A couple of you	 ndinołt'é 
To take a correspondence course	 'ólta' naaltsoos bił 'ałch'į' 'ásh'į́ 
Of course	 daashą' 'át'é
In court	 'aadahwiinít'į́į́ góne'
Cousin's wife	 hazhá'áád  
Cousin's husband	 haadaaní  
Wagon cover	 tsinaabąąs bik'i dah nálbałí 
To cover it with pitch	 'ásaa' yishjeeh 
To cover it	 dádíshtł'óh  
To get covered with silt or soil	 bik'íhoochįįh  
To be in the process of getting covered with silt or soil	 bik'íhoochįįł  
To be covered with it	 bik'iilkaad  
To be covered with viscous matter	 haltłah  
To be covered with dense vegetation	 hodíłch'il  
To be covered with it	 bee hadínísht'é
Breeding cow	 béégashii tsa'ii
To lie cowering	 shishjool
Coyote	 'Átsé Hashké 
Coyote dung	 mą'iichaan 
Coyote tobacco	 dził nát'oh
To crack open	 yiildoh  
To get cracked	 nádlaad 
To be a crackling sound	 ch'iił yiits'a'
It crackles	 dilch'ił
Cradle cover	 'awéé' biniik'i déłtsoozí 
To have a cramp	 dah diishk'ąąh 
To have stomach cramps	 bibid bigháda'ajííł 
Sandhill crane	 déłí 
Sandhill crane songs	 dééł biyiin 
Crane bill	 dééłdaa' 
Crane bill scratcher	 dééłdaa' bee 'ádích'idí
To crash	 'adiilch'ił 
To crash	 nikélts'ííd 
To crash with him	 bił bidah 'iilts'ííd 
To be in a plane crash	 bił hadah 'e'elts'ííd 
To crash it against it	 bídiistsxis 
To crawl over to him	 baa nish'nééh 
To crawl over to it	 baa nishdlóósh  
To crawl around	 naash'na'  
To crawl around here and there	 tádísh'nééh  
To crawl around it	 binásh'nééh  
To crawl around in a circle	 'ahéénísh'nééh  
To crawl around and around in circles	 'ahééhésh'nééh  
To crawl away from each other	 'ałts'ánii'nééh  
To crawl away after it	 há'iish'nééh  
To crawl away and disappear one after another	 yóó' 'ahii'nééh 
To crawl away from it	 bits'ánísh'nééh  
To crawl away out of sight on one's belly	 'ahishghaał  
To crawl back and forth	 'ałnánásh'nééh 
To crawl down off of it	 bik'inaash'nééh  
To crawl into a hole or burrow	 'a'ą́sh'nééh  
To crawl into it and get stuck	 biih dinish'nééh  
To crawl into the water	 taah yish'nééh  
To crawl into the sweathouse	 táchééh yish'nééh  
To crawl into it one after another	 biih hii'nééh  
To crawl one after another into the sweathouse	 táchééh hii'nééh  
To crawl one after another into the water	 taah hii'nééh  
To crawl into the fire	 dzídzaash'nééh  
To crawl one after another into the fire	 dzídzadahii'nééh  
To crawl over the edge	 budah ch'ésh'nééh  
To crawl out one after another	 ch'íhii'nééh  
To crawl one after another over the edge	 bidah ch'íhii'nééh  
To crawl one after another to safety	 yisdáhii'nééh  
To crawl up an incline	 kíish'nééh  
To crawl up out	 haash'nééh  
To crawl up out one after anothor hahii'nééh	 hadahii'nééh  
To crawl up ever it	 báátis yish'nééh  
To crawl up over it one after another	 báátis hii'nééh 
To be crawling along	 yish'nah  
To be crawling up on him	 baa yish'nah  
To find one's way blocked while crawling	 tsístł'aash'nééh  
To go crawling after it	 hánísh'nééh  
To keep right on crawling	 k'ésh'nééh  
To start crawling after it	 hádísh'nééh  
To start to crawl along	 dish'nééh  
To start to crawl along in it	 bił di'nééh  
To start to crawl along	 bił 'adi'nééh  
To start off crawling	 dah diish'nééh  
To start off in it crawling	 bił dii'nééh  
To start off crawling	 bił 'adii'nééh  
To start off crawling	 dah diishdlóósh  
To start to crawl	 nikidiish'nééh
To be crazy about it	 bíchą́ yídéeshni' 
To put cold cream on oneself	 'ádíshtłah 
To start to put cream on it	 bi' niishtłah
To extend credit to him	 bąąh haastsééh 
To extend credit to them	 bąąh hadaastsééh 
To get or have credit	 bąąh haajííł
To creep to him	 baa nish'nééh  
To creep over to him on all four	 baa nishdlóósh  
To creep around	 tádísh'nééh  
To creep around in a stooped position	 ńdíshdlosh  
To creep into the water	 taah yishdlóósh  
To creep one after another into the fire	 dzídzadahii'nééh  
To creep up out on all four	 haashdlóósh 
 To keep right on creeping	 k'ésh'nééh  
To appear	 haasááł 
To become a crescent moon	 dah yiitįįh 
To be crescent shaped	 názhah
Crest of the mountain	 dziłghą́ą́' 
Along the crest of the mountain	 dziłghą́ą́góó
Black cricket	 łizhinígíí  
Black-skulled cricket	 bitsiits'iin łizhinígíí 
Greasy cricket	 niłhiní  
Yellow cricket	 łitsooígíí
Criminal element	 diné doo yá'ádaashxóonii
To put a crimp in it	 yiishch'ííł
To be criticized	 baa hwiinít'įįh
To become crooked	 diigéésh 
To be crooked and scheming	 na'adlo' naasht'i'
To cross it	 tsé'naa ni'nishkǫ́ǫ́h  
To cross one's feet	 'ałnándinishtaał  
To cross one's hands	 'ałnándinishchííd  
To cross each other	 'ałnábíkée'  
To cross	 'ałnáhabitiin  
To cross it out	 bik'i 'ałná'iissoh 
To make a cross mark	 'ałná'iissoh 
Upper crossbeam of a loom	 'á dah sitą́
Cross-eyed person	 bináá' digizí
It lies crosswise	 naaniigo deez'á
To set them side by side crosswise	 naaniigo shizhoozhgo 'áshłééh
Crotch	 'atł'eh 
Inner area of the crotch of one's legs	 'ak'aasht'ah 
Under the crotch	 'atł'eeyah 
Crotch of a person or of a forked stick	 'ak'al 
Area between the belly and the crotch	 'achxoshta'
To be sitting in a crouched position	 dah shishjį́į́d
To crowd around it	 binéiilzhish 
To crowd together	 'ałk'íikááh 
They are crowded close together	 'ahél'á 
There is a crowd	 yílbiil 
To be crowded in	 yanáa'á 
To be crowded around one	 bił yanáa'á 
To be crowded	 'ałk'ineiikai
Crown of the tooth	 'awoo' bík'ą́ą́h
To use a crucible	 'adishhį́į́h
Bread crumbs	 bááh bizéí
To crumble and fall	 hodiiłdaas 
To crumble and fall	 bihidiłdaas 
To crumble it	 disséí 
To be crumbled	 dilzéí 
To be crumbling	 hoyoołdas
It is crumbly	 dizéí
To crumple it	 niishjoł 
To crumple it	 yishjįzh
To be crushed	 bíní yii'aah 
To start to crush it	 bi'niishjį́į́sh
To be going along on crutches	 tsin bee heeshchah
To cry about it	 baa yishcha 
To cry for a long time	 hadíníshchééh 
To cry for joy	 'atídinishdleeh 
To be on the verge of crying	 chadish'ní 
To make him cry	 bee naashné 
To pretend to cry	 'áhodishcha 
To send up cries	 cha hááł'á
To do crystal gazing	 déest'į́į́' 'áshłééh
Medicine cup	 'azee' bee yidlání
Food cupboard	 ch'iyáán biih ná'niłí
To cure it	 yissééh  
To be cured	 bi'diłniih  
To start to cure it	 bi'niissééh
To curl (hair	 corn leaves) yiilch'ííł 
To curl up by his side	 bíighahgóó niismas  
To curl up	 nástas  
To curl it	 yiishch'íił  
To start to curl it	 bi'niishch'ííł  
To be curled	 yishch'il 
Golden currant	 tsé'ésgízii
To curse each other	 'ahííníidziih  
To curse him	 yínísdziih  
To go along cursing him	 bí'neesdzih  
To have a curse-out with him	 bił 'ahíínísdziih  
To run him off cursing him	 'abí'nísdziih
Entrance curtain	 dáádiníbaal 
Pantry curtain	 ch'iyáán biih ná'niłí bidáádiníbaal 
To put up a curtain	 dádi'nishbaał
To curve away from each other	 'ałts'ą́ą́' názhah 
To curve toward each other	 'ałch'į' háázhah 
To be curved	 hááhóózhah 
To curve outward	 háábą́s 
To be curved	 názhah 
To be curved	 shiyish shizhah
To cuss each other out	 'ahííníidziih 
To cuss oneself	 'ádíínísdziih 
To cuss them out	 bitaa 'íínísdziih
To cut a course	 tó niheelghaał  
To be cutting a course	 tó hoolghał  
To cut a furrow	 hodishdlaad  
To cut his throat	 bizádíshgéesh  
To cut it	 yistseeł  
To cut it	 hishgéésh  
To cut it	 hishgéésh  
To cut it	 hishhaał  
To cut it away	 bą́ą́'dishgéésh  
To cut it from one end to the other	 hadiishgéésh  
To cut it in a strip	 hadiishgéésh  
To cut it in two	 k'íníshne'  
To cut it lengthwise	 'ałtániishgéésh  
To cut off its limbs	 bitah hwiishgéésh  
To cut chips from it	 hahashkaał  
To cut its belly open	 bitsą́'níshgéésh  
To cut it off of it	 bik'eeshgéésh  
To cut it open	 bigháníshgéésh  
To cut yistsih	 'astsih  
To cut off a piece of it	 bidishgéésh  
To cut off a piece for him	 bá'díshgéésh  
To cut them into slices	 'ałk'ídaniishgéésh  
To cut them off one piece after another	 bihidishgéésh  
To cut them out	 bidishnííł  
To cut them out	 bidíníshkaad  
To cut them up	 'ałk'ídaniishgéésh 
To be cut in two	 k'égéésh  
To be cut off	 k'égéésh  
To be cut off by high water	 bich'ą́ą́h 'iinééh 
To be cut off	 'adziłhaał  
To be cut off by fire	 bidáhodik'ą́ą́h 
To be in the process of cutting a furrow	 hweeshdlał  
To share it with him by cutting it apart	 bił 'ałts'á'díshgéésh  
To start to cut it	 dish'ááh 
To dam it up	 bidádi'nishtł'in 
To be dammed by an avalanche	 bidáhodiniyéésh
To be dampened	 nálzhoh
To dance	 'ashzhish 
To dance with her	 bił 'ashzhish  
To dance around and around in a circle	 'ahéé'iishzhíísh  
To dance in a circle	 'ahéé'áshzhíísh  
To dance around in a circle	 'ahéé'níshzhíísh  
To dance around it	 biná'áshzhíísh 
To dance too long	 hadí'níshzhíísh  
To stay too long at a dance	 hadí'níshzhíísh  
To stop dancing	 ni'nishzhíísh  
To be dancing around it	 biná'eeshzhish  
To dance about	 na'ashzhiish  
"To dance doing the ""tremble-run"""	 'adisdíís  
To dance the Snake Dance	 tł'iish yee da'alzhish  
To go dancing along	 'eeshzhish  
To love to dance	 jidizhnishzhíísh 
To start to dance	 'i'niishzhíísh  
Minor First Dancers	 'Atsáłeehts'ósí 
Mud Dancers	 Chaashzhiní 
To be a great dancer	 jidizhnishzhíísh
To get dandruff	 bitsiitaa'aba' haleeh
To lower it dangling on the end of a string or rope	 naashch'ąął  
To hang dangling on a cord	 dah hidéch'ą́ą́l  
To dangle from it	 bąąh dah hidiishch'ąął  
To get as dark as night	 jiniilch'iil nahalingo chahałheeł  
To be dark	 chahałheeł  
To be dark brown	 dinishzhin  
Dark-tipped	 k'ízdiníłhéél 
There is a dark-colored patch	 dahodeesxéél
To be overtaken by darkness	 bee yiłheeł 
To dart around it	 bináshtaał  
To dart off	 dah diissááł  
To dive into the water	 taah yishnood  
To dive to the bottom	 táłtł'ááh yishnood  
To dash over to him	 baa nissááł  
To dash outside	 tł'óó'góó yaashtaał  
To dash back and forth	 'ałnánássał  
To dash back	 náníssááł  
To dash off	 dah yiishteeh  
To dash off	 yaaltaał  
To dash off	 bił ya'iiltaał  
To dash off by horse back	 łį́į́' bił dah yiiteeh  
To dash out	 ch'íníssááł  
To dash to	 nisésaal  
To be dashing along	 yissał  
To be going to dash	 désaal
What's the date today	 díí jį́į́ lá 'éí díkwíígóó yoołkááł 
To start to date her	 bił nikidiish'aash
To daub it	 yishdleesh
To be his clan daughter	 bá shíshchíín
Dawn Song	 Yikáííhyiin 
To be dawn	 ha'a'aah 
To become gray dawn	 'ałtso hool'įįh  
To be overtaken by dawn	 bee ha'a'aah 
To start to break	 haiłkaah  
To start to dawn	 haidinilkááh  
To stay until dawn	 bee ha'a'aah 
To suddenly dawn on one	 shoh niissįįh
Day	 hił  
Part of the day	 shághąądídóó  
Another day	 náánáyiską́  
Day and night	 niyiiłkaah dóó 'i'ii'aah  
Day animals	 jį́ naaldeehí  
During the day	 jį́įgo  
In days to come	 náás yidiiską́ą́góó  
In the olden days	 'ałk'idą́ą́'  
In three days	 táá' yiską́ągo 
On the same day	 t'áá 'ahíłjį́  
To my dying day	 ni'níłdįįd bijį́įjį' 
To be one's lucky day	 bich'ijí 'oo'ááł 
To be one's unlucky day	 bits'ą́ą́jí 'oo'ááł  
To become day	 yiłkaah  
To spend one's days	 bíinílką́  
To spend the whole day	 bik'í'ooz'ą́  
To this day	 dííshjį́į́góó 
To use up the whole day	 bik'í'oo'aah  
To take the whole day	 bik'í'oo'aah  
within thirty days	 t'áadoo tádiin yiłkaahí  
Within a few days	 t'áadoo lą'í yiłkaahí
To be daylight	 hool'in
To become deaf	 doo 'adiists'a' da yishłeeh 
To be deaf	 bijééhkał
To be the dealer	 ha'iishnííł
Oh dear!	 Dear oh dear! dooládó' doodada! Dooládó' 'ayóí da lá!
The cause of death	 'iisxíinii 
To cause his death	 bizéé' yisht'įįh 
To die a slow death	 nihoneeł'ąąh
To be in debt	 bąąh háá'á
To start to decay	 bidi'niiłdzííd
To deceive him	 nósh'ááh
To decide against it	 bíkáshtiih  
To decide on it	 hasht'e' nihonish'aah  
To decide to go	 'atséskees  
It's for him to decide	 bila
Is it for me to decide? Is it up to me	 shilaásh?
To be decked out in it	 bee hadilnééh
To declare it	 baa hashne' 
To decorate it	 naashch'ąąh
Decrepit old car	 chidíchxǫ́'í
Dedication	 tó 'ak'ííłtah
Knee deep	 'agodta'go 
Knee deep on me	 shigodta'go 
The matter from under the eye fold of a deer	 bįįh bináyaa niłchiin
Unblemished deerskin	 bįįh bikágí doo k'aak'ehii
To be defeated	 bik'ehodidleeh
To defecate around here and there	 ni'iishchįįh 
To start to defecate	 'i'niishchįįh
They're defenseless	 t'áadoo yił hadadólchidí da
To start to dehair	 bi'niísdzééh 
To start to dehair	 'i'niisdzééh
To get dehydrated	 nástsááh 
To dehydrate it	 nástsááh
To be delayed	 niishtł'ah 
To delay it	 t'óó bee náás hweesh'ááł
To deliver it	 baa ndaashhe' 
To deliver it food	 bich'i' da'iilyé  
To deliver it	 haasdzį́į́s
Bear's den	 'a'ą́ą́ 'aztį́
It is dense	 dit'in
To depart one after another	 dah hidiikááh 
To deposit a prayerstick	 k'eet'aan nááháshniih
Bowl-shaped depression	 háádahazts'aa' 
There is a depression	 hoots'aa'
To descend to the bottom of the water	 táłtł'ááh yishch'ąął 
Deserted	 hasáá'
To design it	 baa ntsísékééz 
To design it	 naashch'ąąh
To designate him	 yíníshshí 
It is desirable	 t'óó bidááhání
To be desired	 hwiiniidzįįh  
His one great desire is	 bitsiits'iin bii' si'ą́  
In response to their desire	 bíni' bik'ehgo  
To have a desire to go there	 'ákǫ́ǫ́ bíni'  
To have a desire to go to	 -góó shíni'
To be dessicated	 sigan
To the last detail	 ts'ídá yíní 'át'éegi
To detonate it	 diishdǫǫh
To detour around it driving in a wagon	 bik'ee'ąą ha'asbąąs  
To detour around it while driving a boat	 bik'ee'ąą ha'ash'eeł  
The deuce of clubs	 'aldóós báásdos 
The deuce of diamonds	 'aldóós 'óola 
The deuce of spades	 'aldóós 'asbáala 
The deuce of hearts	 'aldóós góobas
To devour them one after another	 'ayiimááł
Diamond design on saddle blankets	 'i'íímas 
Diamond-shaped	 bee 'aditł'į́hí nahalinígíí 
Diamonds	 'óola 
Ace of diamonds	 'áás 'óola 
King of diamonds	 zhéí 'óola 
Queen of diamonds	 łį́į́' 'óola 
Jack of diamonds	 sóóda 'óola
To change its diaper	 bitł'eestsooz bá 'ánáshdlééh 
To dirty one's pants or diaper	 'ák'inaashchį'
Stick dice player	 'adiłdiłí 
To play stick dice	 'adishdił
To die a slow death	 nihoneeł'ąąh 
To die away	 'ahosiilts'įįh  
To die down: 'iiyóół	 'iich'ííh  
To die laughing	 dlooł naa'abiłmáás  
To die of old age	 są́ biiłhé  
To be dying off	 noonééł  
Mexican food	 Naakaii bich'iyą' 
Health diet	 ch'iyáán 'ats'íís bá yá'át'éehii
They are of different types	 'ał'ąą 'ádaat'é  
At a different place	 náánáłahdi  
To a different place	 náánáłahgóó  
From a different place	 náánáłahdę́ę́'  
To be difficult for him	 bił nanitł'a 
To be difficult to reach	 bich'į' nahonitł'a
There is difficulty	 hojoobá'í 
With difficulty	 hajoobá'ágo 
Without difficulty	 t'áadoo niłdzilí
To dig around	 naashgeed  
To dig ditches	 tó naashgeed  
To dig a drainage ditch	 dishgééd  
To dig a hole into it	 biní'áshgééd  
To dig away a portion of it	 bidishgééd  
To dig medicinal plants and roots	 'azee' naashgeed  
To dig under it	 bi- ya'diishgééd 
To be digging a hole	 'eeshnił  
To be digging ít	 yishgoł  
To dilly-dally	 na'áhodisziid  
One dime	 t'ááłá'í dootł'izh 
Thirty cents	 táá' dootł'izh
To make a din	 hahwíínísh'á
To dip it out of it	 bii' hahashkaah  
To dip it up	 biya'iishkaah 
To get diphtheria	 bidáyi' dáhodíníchaad
To direct it	 didish'aah 
To direct him	 yish'á
In all directions	 da'níłts'ą́ą́'góó  
From all directions	 da'níłts'ą́ą́'dę́ę́'  
Facing in the direction in which one is moving	 t'áá nee'nijį'go  
Facing in opposite directions	 'ahidiníłnáago  
In a direction away from it	 bits'ą́ąjigo  
In the direction of its underside	 biyaajígo  
In the opposite direction from it	 bidinínáá  
In this direction	 kojigo  
In what direction?	 háajigo lá? 
Their tracks lead in opposite directions	 'ałts'ábíkéé'  
What direction?	 haa góne'?
In the dirt	 łee' 
Red dirt	 łeezh łichxí'í
To be dirty on the inside	 bii' hashbéézh 
Dirty story	 hane' t'óó baa'ihígíí 
To cause it to disappear	 'áshdįįh  
To lead it away and disappear with it	 yóó' 'iisłóós 
To roll away and disappear	 yóó' 'iismáás  
To sail it away and disappear	 yóó' 'iish'eeł 
To sail away and disappear	 yóó' 'e'esh'eeł  
To sail away in it and disappear	 bił yóó' 'ii'eeł  
To sail away and disappear	 bił yóó' 'e'e'eeł  
To start to make it disappear	 'ábi'niishdįįh  
To wriggle away on one's belly and disappear	 yóó' 'ahishghaał
To discharge it	 diishdǫǫh
To discover it while on a voyage	 bik'í'nísh'eeł  
To be discovered	 béé'deetįįh
Without further discussion	 t'áadoo háágóó da niyátéhé
To die of disease	 ts'ííh niidóóh 'ábíłdįįh 
Disease: to have it	 bee bąąh dah haz'ą́ 
To be disfigured	 nishchxǫ́ǫ́'í
A side dish for dunking food	 bé'élts'éé'
To become disjointed	 'aháyeed 
To disjoint it	 'aháníshheed 
To disjoint them	 'aháháshnííł
To come to dislike him	 jooshłaah  
To dislike each other	 bił 'ahijooshdlá
To become dislocated	 haalkeed
To be a disorder	 tsi' hahaghááh 
To cause disorder	 tsi' hahashłááh
To behave in a disorderly manner	 tsi' hahashłááh 
To be disorderly	 tsi'hweeshłááł
To be displeased by it	 doo bił 'aaníi da
To dissolve it	 ńdísh'eeł
A short distance farther on ńléí 'ákohdi	 nagháí 'ákohdi  
A short distance away	 'adiyooghání 
A long distance	 doo ya'akogóó  
At a distant location	 nízaadi 
From a distant location	 nízaadę́ę́'
To distribute them to them	 bitaashniih
Well done	 yéigo sit'éego 
To get done	 yit'ees 
To get well done	 hazhó'ó yit'ees 
It is well done	 díízhę́į́ 
Things are well done	 da'díízhę́į́
Door flap	 dáádilkał 
Door latch	 dáádílkał bił dah nátį́hí 
Pocket door	 dáádílkał 'ąą ńdílzho'í 
Sliding door	 dáádílkał 'ąą ńdílzho'í 
The recess on each side of the doorway of a hogan	 báhástł'ah
To double it over	 'ahą́ą́h niishłé 
To double it up	 yiistáás 
To double one up	 'ahanibí'aah 
To double over	 yiitáás 
White down used on masks	 'ats'os łigaii
Down the throat	 'adáyi' góyaa  
Down the trail	 'adahdę́ę́'  
Down here	 kóyaa  
Down there	 'ákóyaa 
Face down	 ha'yaago  
Head down	 ha'yaago  
TO be down	 ka naashá  
To bend down with him	 bił yaa 'ánééh  
To make a down payment on it	 béeso łahjį' bik'é 'iishnííł  
To start down	 hadah dishch'ąął  
To take it down	 tanáosh'nííł
To down them	 'ádii' yaash'nííł 
To down them one after another	 t'áá 'ałkéé' 'ádii' yaash'nííł
To drag it around	 naashshood  
To drag it with a harrow	 'ak'inaalzhoodí bik'i naashshood  
To drag it around	 naasdzį́į́s  
To drag it around in a circle	 'ahééníshshood  
To drag it around it	 bináshshood  
To drag it as far as ninisdzį́į́s	 ninishshood  
To drag it away from it	 bits'áníshshood  
To drag them one after  another away from it	 bits'áháshshood  
To drag it down	 hadaashshood  
To drag it down	 naashshood  
To drag it into the fire	 dzídzaashshood  
To drag it into the fire	 didisdzį́į́s  
To drag them one after another into the fire	 dzídzahashshood  
To drag it off of him	 bik'eeshshood  
To drag him to safety	 yisdásdzį́į́s  
To drag it to safety	 yisdáshshood 
To drag them to safety	 yisdáháshshood  
Blue dragonfly	 tániil'áí dootł'izhígíí 
Brown dragonfly	 tániil'áí dinilzhin 
Green dragonfly	 tánííl'áí tátł'idí 
Big dragonfly	 tániil'áítsoh 
Slender dragonfly	 tániil'áí 'áłts'óózígíí 
Gray dragonfly	 tániil'áí łibáhígíí 
Yellow dragonfly	 tániil'áí łitsooígíí 
Black dragonfly	 tániil'áí łizhinígíí 
Red dragonfly	 tániil'áí lichí'ígíí
To drain off of it	 bąąh naageeh 
To drain water off by trenching	 tó dishgééd 
To draw a line	 'iissoh  
To draw a line on it	 bikáa'gi yiissoh  
To draw a line around it	 biná'ássoh  
To draw blood	 tsiih yishch'id  
To draw in one's feet	 'ahą ndinishtaał  
To draw in one's hands	 'ahą ndinishchííd  
To draw it in	 yishshizh  
To draw in the spirit of the dawn	 hayoołkáál bizhí yishshizh  
To draw it quickly	 hahashhan  
To draw in one's legs	 'ahą ndinish'éés  
To draw lines or other designs on oneself	 'ák'ina'asdzo  
To draw it to itself	 'ách'į' kwíilnééh  
To draw it together	 'ałch'į' yiish'ish  
To draw it up	 de dishłeeh  
To be drawing it	 yissoh  
To be drawing a line	 'eessoh 
To have the legs drawn back	 'ahadííníshją' 
It draws them to itself	 'ách'į' kódeilnééh
Closed by a drawstring	 dáńdiit'ish
To start to dream about him	 baa néidiishheeł
Traditional Pueblo-type dress	 biil
To dress him up	 béé'íishtł'in  
To dress him warmly	 'éé' bééhéshtł'in  
To dress in it	 hadishnééh  
To be dressed in it	 bee hadínísht'é  
To be dressed	 bi'éé' bik'idénil 
To be dressed in rags	 'anilí t'éiyá bik'idénil  
To dress him in it	 hadishłééh  
To get dressed in it	 hadishnééh
To dribble it all over the floor	 ni'góó nisésas  
To dribble it along in a line	 dissáás  
To dribble it on it	 bik'éssas
To be dried up	 sigan 
Dried roasted corn	 neeshjį́zhii 
Dried up conifer boughs	 'ił dííchii'
To drift apart	 'ałts'á'eeł  
To drift apart	 bíł 'ałts'á'eeł  
To drift apart	 'ałts'ánii'eeł  
To drift in on one	 bik'ijį' nteeh  
To drift off	 dah diijool  
To be drifting along in it: bił yi'oł	 bił 'ooldoh  
To be drifting along: bił 'oo'oł	 bił 'ooldoh  
To start drifting	 yas bił diyóół  
Drill bit	 bee 'agháda'a'nilí 
Wood drill	 tsin bee bigháda'a'nilí 
Metal drill	 béésh bee bigháda'a'nilí 
Bow drill	 bee 'agháda'diltazí
To do hand-drilling	 'agháda'distaas 
To drill holes	 'agháda'distaas 
To drill holes	 'ada'ashnil 
To drill through it	 biníká'níshnííł 
To drink heavily	 jidizhnishdlį́į́h 
To drink it	 yishdlą́  
To drink it from an open container	 'ádá diishkaah  
To drink it from a bottle	 'ádá diisht'aah  
To be on a drinking spree	 dah 'eeshdlį́į́ł  
To get him to drink	 bi'iishdlą́  
To give him a drink of it	 ba'nissííd  
Mixed drink	 tódiłhił 'áłah yídziidígíí  
To start to drink	 'i'niishdlį́į́h  
To start to drink it	 bi'niishdlį́į́h  
To take one drink after another of it	 'ázahasdzííd  
Drinker	 'adłáanii 
To drip out	 hashoogizh 
To drive it	 'iishkaał  
To drive it into it	 baa 'iishkaał  
To drive it after it	 hádíshłeeh 
To drive it around it	 bináníssóód  
To drive it	 nininissóód  
To drive	 yóó' 'iishłeeh  
To drive them away and disappear with them	 yóó' 'anishkaad  
To drive it away from it: bits'ánísbąąs	 bits'áníshłeeh  
To drive it	 yóó' 'anissóód  
To drive them	 'ałnááníssóód  
To drive them back and forth	 'ałnááníshkaad  
To drive him down	 bił hada'ashłeeh  
To drive him to it	 bíníshchééh 
To drive them to it	 bíníshkad  
To drive into town: kįįh 'asbąąs	 kįįh 'ashłeeh  
To drive	 biih nishkaad  
To drive him into  a corner	 tsístł'anishchééh  
To drive them into a corner	 tsístł'anishkaad  
To drive it into the ground	 łeeh bíjíshne'  
To drive it through it	 bighábízhníshne'  
To drive it off oneself	 'ák'inishchééh  
To drive them  off oneself	 'ák'inishkaad 
To drive them out	 shaa ch'éjeeh  
To drive them out one after another	 ch'íhiilbąąs  
To drive them to water	 to drive them into the wate
To droop over	 dínéezhóód 
To drop a bomb on it	 bik'ijį' hadah 'e'eshne'  
To drop bombs on it	 bik'ijį' hadah 'e'eshnííł  
To drop a series of bombs on it	 bik'ijį' hadah 'i'iishnííł  
To drop down out of the tree: tsinbąąhdę́ę́' 'adaashch'ąął (bidaashch'ąął	 hadaashch'ąął)  
To drop it down over him	 bił yáá ninishkaad  
To be dropping	 t'ą́ą́' náálkił
To drown it	 tó bee sisxé
To be drowsy	 bił nisin
Addictive drugs	 'azee' tsi'nda'iiłáhígíí 
Anti-tuberculosis drug	 jéí'ádįįh bich'į' 'azee'
To be drumming on it	 yishhał 
To start to drum on it	 bi'niishhááł
Drumstick	 'ásaa' bee yiltązhí 
Kettle drum	 'ásaa' dádeestł'ónígíí
To get drunk and not know what happened	 baa'diishdlį́į́h 
To be on a drunk	 dah 'eeshdlį́į́ł 
To make one drunk	 tsí'bidiiłááh 
To dry up	 diichííh  
To dry it up	 nástsááh  
To dry up	  
To dry oneself	 'ádéshjoł  
To dry up	 t'óó bee 'agan  
To start to dry up	 bi'niigan  
To start to dry it	 bi'niishgan  
Coyote dung	 mą'iichaan
Dung roller	 chąąneiłmáásii
To eat by dunking	 béé'ésh'ááh
To be duplicated	 be'elnééh
On earth	 nihookáá'  
To be an earthquake	 ni' naha'ná 
To begin	 ni' hidi'nááh 
To be destroyed by an earthquake	 ni' nahaas'náa'go 'ábíłdįįh
To set his mind at ease	 t'áá hats'íidgo bił hashne'
On the east	 ha'a'aahjí 
On the east side	 ha'a'aahjígo 
Eastward	 ha'a'aahjigo
To be easy for him	 doo bił nanitł'a da 
"To ""go easy on him"	""" bííníshkáá'"
To eat any old place	 t'áá bihólnííhgóó na'ashą'  
To eat off one's relatives	 t'óó shík'éítahgóó na'ashą'  
To be a heavy meat-eater	 jidizhnishghááł  
To eat meat off bones	 bídísht'ą́ą́h  
To eat with a fork	 bíla'táá'ii bee 'áza'iish'nííł  
To eat with a spoon	 béésh'adee' bee 'áza'iishkaah  
To fix him something to eat	 bitsą́ 'é'éshłééh  
To get a bite to eat	 'e'eshneeh  
To make him eat	 bi'iissą́  
To be in eclipse	 daaztsą́ 
Edge	 tsékoohdáá'  
To the edge of the canyon	 tsekoohdáa'jį'  
